subject	dataset	total_responses	total_unique_responses	repeats	mean_overall_semantic_sim	mean_overall_phonetic_sim	mean_frequency	mean_cluster_semantic_sim_troyerF	mean_switch_semantic_sim_troyerF	mean_cluster_phon_sim_troyerF	mean_switch_phon_sim_troyerF	pc_switches_troyerF	switch_count_troyerF	mean_cluster_size_with_singletons_troyerF	pc_clustered_responses_no_singletons_by_total_troyerF	mean_cluster_semantic_sim_delta	mean_switch_semantic_sim_delta	mean_cluster_phon_sim_delta	mean_switch_phon_sim_delta	pc_switches_delta	switch_count_delta	mean_cluster_size_with_singletons_delta	pc_clustered_responses_no_singletons_by_total_delta
2	subject_switch_lexical_results_v1	22	22	0	0.461545	0.104995	3.647727	0.586250	0.384803	0.092762	0.112523	61.904762	13	1.571429	71.428571	0.540768	0.332806	0.154169	0.025087	38.095238	8	2.444444	95.238095
4	subject_switch_lexical_results_v1	18	18	0	0.424905	0.068559	4.160000	0.470085	0.374078	0.069911	0.067037	47.058824	8	2.000000	76.470588	0.472638	0.337395	0.066955	0.071500	35.294118	6	2.571429	94.117647
5	subject_switch_lexical_results_v1	20	20	0	0.454595	0.039742	3.688000	0.494880	0.367309	0.026462	0.068517	31.578947	6	2.857143	84.210526	0.502036	0.373267	0.034308	0.049057	36.842105	7	2.500000	94.736842
6	subject_switch_lexical_results_v1	26	26	0	0.458573	0.116008	3.468846	0.515129	0.358030	0.132844	0.086078	36.000000	9	2.600000	88.000000	0.513826	0.316493	0.117167	0.113029	28.000000	7	3.250000	96.000000
7	subject_switch_lexical_results_v1	26	26	0	0.413740	0.127052	3.715000	0.459562	0.377738	0.131427	0.123614	56.000000	14	1.733333	68.000000	0.459627	0.316231	0.149835	0.078637	32.000000	8	2.888889	92.000000
11	subject_switch_lexical_results_v1	27	26	1	0.441114	0.112088	3.590741	0.538464	0.343765	0.155108	0.069069	50.000000	13	1.928571	76.923077	0.498281	0.285949	0.128158	0.068471	26.923077	7	3.375000	100.000000
12	subject_switch_lexical_results_v1	20	20	0	0.369595	0.097558	3.651000	0.520893	0.351795	0.071500	0.100624	89.473684	17	1.111111	21.052632	0.387107	0.331652	0.086700	0.121083	31.578947	6	2.857143	84.210526
15	subject_switch_lexical_results_v1	23	23	0	0.406888	0.020545	4.120000	0.470229	0.363037	0.027867	0.015477	59.090909	13	1.642857	59.090909	0.427701	0.362290	0.016760	0.028657	31.818182	7	2.875000	90.909091
16	subject_switch_lexical_results_v1	22	22	0	0.440441	0.043733	4.086818	0.480558	0.375252	0.019323	0.083400	38.095238	8	2.444444	90.476190	0.490696	0.339933	0.017950	0.095300	33.333333	7	2.750000	95.238095
17	subject_switch_lexical_results_v1	19	19	0	0.456605	0.034011	3.904211	0.494755	0.380304	0.023900	0.054233	33.333333	6	2.714286	88.888889	0.499795	0.413415	0.038178	0.029844	50.000000	9	1.900000	72.222222
