Switch_Method,Switches_per_Subj_mean,Switches_per_Subj_SD,Model,Beta_Frequency_mean,Beta_Frequency_std,Beta_Semantic_mean,Beta_Semantic_std,Beta_Phonological_mean,Beta_Phonological_std
delta_rise=0.0_fall=0.0,10.40625,2.9335634083539652,forage_dynamic,7.934876557613084,2.0604062469460906,4.450216320142197,0.5575837917952322,,
delta_rise=0.0_fall=0.0,10.40625,2.9335634083539652,forage_phonologicaldynamicglobal,7.833558469445347,2.0444840132897877,5.0372432648252605,0.9113934167682761,-0.09133673040005934,0.09387325761235824
delta_rise=0.0_fall=0.0,10.40625,2.9335634083539652,forage_phonologicaldynamiclocal,7.909251517665503,2.0748186206075516,5.731940908573615,1.5541405982839511,-0.26288325058643985,0.4969014452342307
delta_rise=0.0_fall=0.0,10.40625,2.9335634083539652,forage_phonologicaldynamicswitch,7.919973227647223,2.0612041529863756,4.450816602414231,0.557526795786738,-0.06553416499550598,0.337665981184931
delta_rise=0.0_fall=0.25,9.71875,2.838364864524409,forage_dynamic,7.910954737942023,2.0450123329022167,4.416949137954387,0.5646545319543719,,
delta_rise=0.0_fall=0.25,9.71875,2.838364864524409,forage_phonologicaldynamicglobal,7.8049326916836534,2.027477691111882,5.023846970467219,0.9123112266143059,-0.09504086794062218,0.09476495352561518
delta_rise=0.0_fall=0.25,9.71875,2.838364864524409,forage_phonologicaldynamiclocal,7.878970628389744,2.0538041338134616,5.618756495393357,1.4429631435330288,-0.2498131949481526,0.47749942741626206
delta_rise=0.0_fall=0.25,9.71875,2.838364864524409,forage_phonologicaldynamicswitch,7.8941835439290235,2.044693948705244,4.417482865763515,0.5645276969200659,-0.07486916532471237,0.3745245897902149
delta_rise=0.0_fall=0.5,8.932291666666666,2.748218922914237,forage_dynamic,7.880705450083057,2.038795268945965,4.367529731239105,0.5668444650174507,,
delta_rise=0.0_fall=0.5,8.932291666666666,2.748218922914237,forage_phonologicaldynamicglobal,7.7692334227877495,2.0206308022930255,4.993114796583455,0.9293312003180708,-0.09878651864396021,0.09615074584603592
delta_rise=0.0_fall=0.5,8.932291666666666,2.748218922914237,forage_phonologicaldynamiclocal,7.83621014923418,2.0399051660728516,5.51775939204142,1.3765831343350943,-0.2339328387864298,0.43333651198761614
delta_rise=0.0_fall=0.5,8.932291666666666,2.748218922914237,forage_phonologicaldynamicswitch,7.863882584972571,2.0402766109654764,4.368179664618007,0.566871304862212,-0.10670415877472544,0.46700811901953143
delta_rise=0.0_fall=0.75,7.635416666666667,2.502581132828442,forage_dynamic,7.8419198906372705,2.042273335119383,4.2640899527522995,0.5756441627231416,,
delta_rise=0.0_fall=0.75,7.635416666666667,2.502581132828442,forage_phonologicaldynamicglobal,7.723907425048384,2.0237587394396352,4.892459639804013,0.9359912172908237,-0.10131028180785889,0.0957643111168711
delta_rise=0.0_fall=0.75,7.635416666666667,2.502581132828442,forage_phonologicaldynamiclocal,7.775294396096965,2.0404446519661534,5.298215673669314,1.2843049085156912,-0.20067393494637156,0.39955420219756616
delta_rise=0.0_fall=0.75,7.635416666666667,2.502581132828442,forage_phonologicaldynamicswitch,7.826707441243475,2.0424938958575107,4.264709261291716,0.575529568352289,-0.15669990953850707,0.5531841659280515
delta_rise=0.0_fall=1.0,6.473958333333333,2.2567835145616475,forage_dynamic,7.80038306894734,2.028499524250218,4.155972664166346,0.5794208253072675,,
delta_rise=0.0_fall=1.0,6.473958333333333,2.2567835145616475,forage_phonologicaldynamicglobal,7.679540257711426,2.010096880863072,4.77320579827976,0.9302379825785396,-0.1016610211100112,0.09547339133050686
delta_rise=0.0_fall=1.0,6.473958333333333,2.2567835145616475,forage_phonologicaldynamiclocal,7.720875752000789,2.0268971307931323,5.103823655249864,1.247316630823222,-0.17805236639632305,0.29851939817695194
delta_rise=0.0_fall=1.0,6.473958333333333,2.2567835145616475,forage_phonologicaldynamicswitch,7.786062043059638,2.0258853560710146,4.15643128479661,0.5793189951475364,-0.19713196697960975,0.6507326552013379
delta_rise=0.25_fall=0.0,11.239583333333334,3.1663753977888067,forage_dynamic,7.952056907481059,2.0588200947954522,4.549024698516235,0.5528577132159032,,
delta_rise=0.25_fall=0.0,11.239583333333334,3.1663753977888067,forage_phonologicaldynamicglobal,7.852875257529845,2.044866027181563,5.139681825879053,0.9056806688001691,-0.09043799692422973,0.09432903876110489
