SID,entry,evaluation,replacement
2,alpaca,FOUND,alpaca
2,bear,FOUND,bear
2,bruin,FOUND,bruin
2,antelope,FOUND,antelope
2,anteater,FOUND,anteater
2,ant,FOUND,ant
2,cow,FOUND,cow
2,cat,FOUND,cat
2,dog,FOUND,dog
2,chicken,FOUND,chicken
2,rooster,FOUND,rooster
2,ox,FOUND,ox
2,zebra,FOUND,zebra
2,tiger,FOUND,tiger
2,lion,FOUND,lion
2,quail,FOUND,quail
2,peacock,FOUND,peacock
2,monkey,FOUND,monkey
2,ape,FOUND,ape
2,chimpanzee,FOUND,chimpanzee
2,kangaroo,FOUND,kangaroo
2,koala,FOUND,koala
4,cow,FOUND,cow
4,pig,FOUND,pig
4,chicken,FOUND,chicken
4,giraffe,FOUND,giraffe
4,elephant,FOUND,elephant
4,panda,FOUND,panda
4,turtle,FOUND,turtle
4,fish,FOUND,fish
4,snake,FOUND,snake
4,cat,FOUND,cat
4,dog,FOUND,dog
4,horse,FOUND,horse
4,lion,FOUND,lion
4,shrimp,FOUND,shrimp
4,starfish,FOUND,starfish
4,spider,FOUND,spider
4,alligator,FOUND,alligator
4,bird,FOUND,bird
5,monkey,FOUND,monkey
5,giraffe,FOUND,giraffe
5,elephant,FOUND,elephant
5,tiger,FOUND,tiger
5,cheetah,FOUND,cheetah
5,lion,FOUND,lion
5,kangaroo,FOUND,kangaroo
5,opossum,FOUND,opossum
5,raccoon,FOUND,raccoon
5,quokka,FOUND,quokka
5,cat,FOUND,cat
5,dog,FOUND,dog
5,bird,FOUND,bird
5,parrot,FOUND,parrot
5,turtle,FOUND,turtle
5,fish,FOUND,fish
5,whale,FOUND,whale
5,starfish,FOUND,starfish
5,honey_badger,REPLACE,honey badger
5,wombat,FOUND,wombat
6,goose,FOUND,goose
6,duck,FOUND,duck
6,chicken,FOUND,chicken
6,snake,FOUND,snake
6,lizard,FOUND,lizard
6,alligator,FOUND,alligator
6,turtle,FOUND,turtle
6,frog,FOUND,frog
6,newt,FOUND,newt
6,skunk,FOUND,skunk
6,stegasaurus,REPLACE,stegosaurus
6,velociraptor,FOUND,velociraptor
6,tyrannosaurus_rex,REPLACE,tyrannosaurus rex
6,triceratops,FOUND,triceratops
6,crow,FOUND,crow
6,raven,FOUND,raven
6,pigeon,FOUND,pigeon
6,pheasant,FOUND,pheasant
6,deer,FOUND,deer
6,bear,FOUND,bear
6,horse,FOUND,horse
6,monkey,FOUND,monkey
6,gorilla,FOUND,gorilla
6,caiman,FOUND,caiman
6,salamander,FOUND,salamander
6,boa_constrictor,REPLACE,boa constrictor
7,ant,FOUND,ant
7,alligator,FOUND,alligator
7,possum,FOUND,possum
7,elephant,FOUND,elephant
7,giraffe,FOUND,giraffe
7,tiger,FOUND,tiger
7,lion,FOUND,lion
7,bear,FOUND,bear
7,dog,FOUND,dog
7,cat,FOUND,cat
7,rat,FOUND,rat
7,raccoon,FOUND,raccoon
7,deer,FOUND,deer
7,stink_bug,REPLACE,stinkbug
7,scorpion,FOUND,scorpion
7,spider,FOUND,spider
7,wolf,FOUND,wolf
7,fox,FOUND,fox
7,muskrat,FOUND,muskrat
7,mouse,FOUND,mouse
7,hamster,FOUND,hamster
7,squirrel,FOUND,squirrel
7,guinea_pig,REPLACE,guinea pig
7,gerbil,FOUND,gerbil
7,anteater,FOUND,anteater
7,snake,FOUND,snake
11,cat,FOUND,cat
11,dog,FOUND,dog
11,red_panda,REPLACE,red panda
11,lemur,FOUND,lemur
11,fennec_fox,REPLACE,fennec fox
11,tiger,FOUND,tiger
11,lion,FOUND,lion
11,elephant,FOUND,elephant
11,flamingo,FOUND,flamingo
11,sandpiper,FOUND,sandpiper
11,fairy_tern,REPLACE,fairy tern
11,monkey,FOUND,monkey
11,chimpanzee,FOUND,chimpanzee
11,orangutan,FOUND,orangutan
11,havanese_dog,REPLACE,havanese dog
11,dog,FOUND,dog
11,snake,FOUND,snake
11,garter_snake,REPLACE,garter snake
11,deer,FOUND,deer
11,fox,FOUND,fox
11,porcupine,FOUND,porcupine
11,hedgehog,FOUND,hedgehog
11,ant,FOUND,ant
11,butterfly,FOUND,butterfly
11,dragonfly,FOUND,dragonfly
11,rabbit,FOUND,rabbit
11,chicken,FOUND,chicken
12,anaconda,FOUND,anaconda
12,bear,FOUND,bear
12,cat,FOUND,cat
12,dog,FOUND,dog
12,frog,FOUND,frog
12,goat,FOUND,goat
12,iguana,FOUND,iguana
12,jaguar,FOUND,jaguar
12,kangaroo,FOUND,kangaroo
12,llama,FOUND,llama
12,orca,FOUND,orca
12,penguin,FOUND,penguin
12,rabbit,FOUND,rabbit
