Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,Phonological_Similarity_mean,Phonological_Similarity_std,#_of_Items,Switch_Method,Number_of_Switches,Cluster_Size_mean,Cluster_Size_std
2.0,0.46154456522163223,0.14743960139236642,6.042525733207385,0.7808069925100304,0.27545,0.13294419882040734,22.0,delta_rise=0.0_fall=0.0,9,2.2,0.7483314773547882
2.0,,,,,,,,delta_rise=0.0_fall=0.25,9,2.2,0.7483314773547882
2.0,,,,,,,,delta_rise=0.0_fall=0.5,9,2.2,0.7483314773547882
2.0,,,,,,,,delta_rise=0.0_fall=0.75,8,2.4444444444444446,1.1653431646335017
2.0,,,,,,,,delta_rise=0.0_fall=1.0,8,2.4444444444444446,1.1653431646335017
2.0,,,,,,,,delta_rise=0.25_fall=0.0,9,2.2,0.7483314773547882
2.0,,,,,,,,delta_rise=0.25_fall=0.25,9,2.2,0.7483314773547882
2.0,,,,,,,,delta_rise=0.25_fall=0.5,9,2.2,0.7483314773547882
2.0,,,,,,,,delta_rise=0.25_fall=0.75,8,2.4444444444444446,1.1653431646335017
2.0,,,,,,,,delta_rise=0.25_fall=1.0,8,2.4444444444444446,1.1653431646335017
2.0,,,,,,,,delta_rise=0.5_fall=0.0,9,2.2,0.7483314773547882
2.0,,,,,,,,delta_rise=0.5_fall=0.25,9,2.2,0.7483314773547882
2.0,,,,,,,,delta_rise=0.5_fall=0.5,9,2.2,0.7483314773547882
2.0,,,,,,,,delta_rise=0.5_fall=0.75,8,2.4444444444444446,1.1653431646335017
2.0,,,,,,,,delta_rise=0.5_fall=1.0,8,2.4444444444444446,1.1653431646335017
2.0,,,,,,,,delta_rise=0.75_fall=0.0,10,2.0,0.7385489458759964
2.0,,,,,,,,delta_rise=0.75_fall=0.25,10,2.0,0.7385489458759964
2.0,,,,,,,,delta_rise=0.75_fall=0.5,10,2.0,0.7385489458759964
2.0,,,,,,,,delta_rise=0.75_fall=0.75,9,2.2,1.1661903789690602
2.0,,,,,,,,delta_rise=0.75_fall=1.0,9,2.2,1.1661903789690602
2.0,,,,,,,,delta_rise=1.0_fall=0.0,10,2.0,0.7385489458759964
2.0,,,,,,,,delta_rise=1.0_fall=0.25,10,2.0,0.7385489458759964
2.0,,,,,,,,delta_rise=1.0_fall=0.5,10,2.0,0.7385489458759964
2.0,,,,,,,,delta_rise=1.0_fall=0.75,9,2.2,1.1661903789690602
2.0,,,,,,,,delta_rise=1.0_fall=1.0,9,2.2,1.1661903789690602
2.0,,,,,,,,multimodal_alpha=0.0,3,5.5,5.024937810560445
2.0,,,,,,,,multimodal_alpha=0.1,7,2.75,0.82915619758885
2.0,,,,,,,,multimodal_alpha=0.2,7,2.75,0.82915619758885
2.0,,,,,,,,multimodal_alpha=0.30000000000000004,7,2.75,0.82915619758885
2.0,,,,,,,,multimodal_alpha=0.4,7,2.75,0.82915619758885
2.0,,,,,,,,multimodal_alpha=0.5,7,2.75,0.82915619758885
2.0,,,,,,,,multimodal_alpha=0.6000000000000001,7,2.75,0.82915619758885
2.0,,,,,,,,multimodal_alpha=0.7000000000000001,7,2.75,0.82915619758885
2.0,,,,,,,,multimodal_alpha=0.8,7,2.75,0.82915619758885
2.0,,,,,,,,multimodal_alpha=0.9,7,2.75,0.82915619758885
2.0,,,,,,,,multimodal_alpha=1.0,7,2.75,0.82915619758885
2.0,,,,,,,,norms_associative,12,1.6923076923076923,0.7216024245882199
2.0,,,,,,,,norms_categorical,12,1.6923076923076923,0.7216024245882199
2.0,,,,,,,,simdrop,7,2.75,0.82915619758885
4.0,0.42490517953513113,0.1004087966815558,6.4607826239831345,0.6866904289979957,0.16635714285714287,0.042581602331791805,18.0,delta_rise=0.0_fall=0.0,9,1.8,0.9797958971132713
4.0,,,,,,,,delta_rise=0.0_fall=0.25,8,2.0,1.5634719199411433
4.0,,,,,,,,delta_rise=0.0_fall=0.5,7,2.25,1.920286436967152
4.0,,,,,,,,delta_rise=0.0_fall=0.75,7,2.25,1.920286436967152
4.0,,,,,,,,delta_rise=0.0_fall=1.0,6,2.5714285714285716,2.0603150145508513
4.0,,,,,,,,delta_rise=0.25_fall=0.0,10,1.8,0.9797958971132713
4.0,,,,,,,,delta_rise=0.25_fall=0.25,9,2.0,1.5634719199411433
4.0,,,,,,,,delta_rise=0.25_fall=0.5,8,2.25,1.920286436967152
4.0,,,,,,,,delta_rise=0.25_fall=0.75,8,2.25,1.920286436967152
4.0,,,,,,,,delta_rise=0.25_fall=1.0,7,2.5714285714285716,2.0603150145508513
4.0,,,,,,,,delta_rise=0.5_fall=0.0,11,1.6363636363636365,0.7713892158398701
4.0,,,,,,,,delta_rise=0.5_fall=0.25,10,1.8,1.2489995996796797
4.0,,,,,,,,delta_rise=0.5_fall=0.5,9,2.0,1.5634719199411433
4.0,,,,,,,,delta_rise=0.5_fall=0.75,9,2.0,1.5634719199411433
4.0,,,,,,,,delta_rise=0.5_fall=1.0,8,2.25,1.713913650100261
4.0,,,,,,,,delta_rise=0.75_fall=0.0,13,1.3846153846153846,0.6249260311258432
4.0,,,,,,,,delta_rise=0.75_fall=0.25,13,1.3846153846153846,0.6249260311258432
4.0,,,,,,,,delta_rise=0.75_fall=0.5,12,1.5,0.7637626158259734
4.0,,,,,,,,delta_rise=0.75_fall=0.75,12,1.5,0.7637626158259734
4.0,,,,,,,,delta_rise=0.75_fall=1.0,11,1.6363636363636365,0.9791208740244551
4.0,,,,,,,,delta_rise=1.0_fall=0.0,13,1.3846153846153846,0.6249260311258432
