SID,entry
805,dog
805,pig
805,sheep
805,lamb
805,ram
805,panda
805,bear
805,fish
805,eagle
805,canary
805,crow
805,blue jay
805,chicken
805,rabbit
805,muskrat
805,raccoon
805,skunk
805,kangaroo
805,spider
805,frog
805,toad
805,salamander
805,zebra
805,lion
805,wolf
805,hyena
805,giraffe
805,rhino
809,dog
809,cat
809,gerbil
809,sugar glider
809,hamster
809,gecko
809,lizard
809,snake
809,fish
809,clownfish
809,shark
809,dolphin
809,whale
809,monkey
809,tiger
809,orangutan
809,bison
809,cow
809,bull
809,pig
809,chicken
809,camel
809,swordfish
810,dog
810,cat
816,cat
816,dog
816,cow
816,tiger
816,lion
816,horse
816,goat
816,sheep
816,bird
816,penguin
816,toucan
816,squirrel
816,mouse
816,rat
816,hamster
816,rabbit
816,guinea pig
816,lizard
816,gecko
816,slug
816,cricket
817,wallaby
817,wombat
817,aardvark
817,ant
817,anteater
817,lamprey
817,kangaroo
817,dog
817,cat
817,opossum
817,sand tiger shark
817,eel
817,lion
817,horseshoe crab
817,bull shark
817,wolf
817,ferret
817,gerbil
817,parrot
817,parakeet
817,finch
817,eel
817,tiger shark
817,blacktip shark
817,great white shark
817,goldfinch
818,dog
818,raven
818,snake
818,woodpecker
818,snow goose
818,falcon
818,wolf
818,bear
818,spider
818,praying mantis
818,seagull
818,crow
818,hawk
818,deer
818,salmon
818,owl
818,fish
821,aardvark
821,antelope
821,anteater
821,bat
821,cat
821,cougar
821,dog
821,deer
821,elephant
821,eel
821,goat
821,hen
821,jaguar
821,lion
821,giraffe
821,puma
821,python
821,boa constrictor
821,viper
821,diamondback
821,lizard
821,siamese cat
821,calico cat
823,chicken
823,cow
823,sheep
823,goat
823,cat
823,dog
823,mouse
823,bird
823,shark
823,whale
823,clownfish
823,angelfish
823,turtle
823,starfish
823,eel
823,octopus
823,crab
825,frog
825,fish
825,bird
825,zebra
825,giraffe
825,lion
825,anteater
825,pig
825,goat
825,horse
825,sloth
825,fly
825,cricket
825,snake
826,penguin
826,dolphin
826,whale
826,shark
826,stingray
826,lion
826,jaguar
826,giraffe
826,hippo
826,flamingo
826,dog
826,cat
826,hamster
826,snake
826,bird
826,jellyfish
827,dog
827,terrier
827,armadillo
827,porcupine
827,cuttlefish
827,octopus
827,pufferfish
827,gorilla
827,chimpanzee
827,giraffe
827,deer
827,elk
827,moose
827,stag beetle
827,binturong
827,cheetah
827,puma
827,lion
827,tiger
827,bear
827,coyote
827,poodle
827,chihuahua
827,cat
827,devon rex
827,tabby
827,bird
827,crow
827,raven
827,eagle
827,hawk
827,grackle
827,woodpecker
827,fly
827,dragonfly
829,pig
829,cow
829,vole
829,snake
829,giraffe
829,lion
829,zebra
829,tiger
829,lemur
