Subject,Fluency_Item,Switch_Value,Switch_Method
805,dog,2,simdrop
805,pig,0,simdrop
805,sheep,1,simdrop
805,lamb,0,simdrop
805,ram,0,simdrop
805,panda,1,simdrop
805,bear,0,simdrop
805,fish,1,simdrop
805,eagle,0,simdrop
805,canary,1,simdrop
805,crow,0,simdrop
805,blue jay,0,simdrop
805,chicken,1,simdrop
805,rabbit,0,simdrop
805,muskrat,1,simdrop
805,raccoon,0,simdrop
805,skunk,0,simdrop
805,kangaroo,1,simdrop
805,spider,0,simdrop
805,frog,0,simdrop
805,toad,0,simdrop
805,salamander,0,simdrop
805,zebra,1,simdrop
805,lion,0,simdrop
805,wolf,0,simdrop
805,hyena,0,simdrop
805,giraffe,1,simdrop
805,rhino,2,simdrop
805,dog,2,multimodal_alpha=0.0
805,pig,0,multimodal_alpha=0.0
805,sheep,0,multimodal_alpha=0.0
805,lamb,0,multimodal_alpha=0.0
805,ram,0,multimodal_alpha=0.0
805,panda,0,multimodal_alpha=0.0
805,bear,0,multimodal_alpha=0.0
805,fish,0,multimodal_alpha=0.0
805,eagle,0,multimodal_alpha=0.0
805,canary,0,multimodal_alpha=0.0
805,crow,0,multimodal_alpha=0.0
805,blue jay,0,multimodal_alpha=0.0
805,chicken,0,multimodal_alpha=0.0
805,rabbit,0,multimodal_alpha=0.0
805,muskrat,0,multimodal_alpha=0.0
805,raccoon,0,multimodal_alpha=0.0
805,skunk,1,multimodal_alpha=0.0
805,kangaroo,0,multimodal_alpha=0.0
805,spider,0,multimodal_alpha=0.0
805,frog,0,multimodal_alpha=0.0
805,toad,0,multimodal_alpha=0.0
805,salamander,0,multimodal_alpha=0.0
805,zebra,0,multimodal_alpha=0.0
805,lion,0,multimodal_alpha=0.0
805,wolf,0,multimodal_alpha=0.0
805,hyena,0,multimodal_alpha=0.0
805,giraffe,0,multimodal_alpha=0.0
805,rhino,2,multimodal_alpha=0.0
805,dog,2,multimodal_alpha=0.1
805,pig,0,multimodal_alpha=0.1
805,sheep,1,multimodal_alpha=0.1
805,lamb,0,multimodal_alpha=0.1
805,ram,0,multimodal_alpha=0.1
805,panda,0,multimodal_alpha=0.1
805,bear,0,multimodal_alpha=0.1
805,fish,1,multimodal_alpha=0.1
805,eagle,0,multimodal_alpha=0.1
805,canary,1,multimodal_alpha=0.1
805,crow,0,multimodal_alpha=0.1
805,blue jay,0,multimodal_alpha=0.1
805,chicken,1,multimodal_alpha=0.1
805,rabbit,0,multimodal_alpha=0.1
