"SID","entry","evaluation","replacement","entryInSNAFU","replacementInSNAFU","entryInTroyerEx","replacementInTroyerEx"
2,"alpaca","FOUND","alpaca",1,1,1,1
2,"bear","FOUND","bear",1,1,1,1
2,"bruin","FOUND","bruin",1,1,0,0
2,"antelope","FOUND","antelope",1,1,1,1
2,"anteater","FOUND","anteater",1,1,1,1
2,"ant","FOUND","ant",1,1,1,1
2,"cow","FOUND","cow",1,1,1,1
2,"cat","FOUND","cat",1,1,1,1
2,"dog","FOUND","dog",1,1,1,1
2,"chicken","FOUND","chicken",1,1,1,1
2,"rooster","FOUND","rooster",1,1,1,1
2,"ox","FOUND","ox",1,1,1,1
2,"zebra","FOUND","zebra",1,1,1,1
2,"tiger","FOUND","tiger",1,1,1,1
2,"lion","FOUND","lion",1,1,1,1
2,"quail","FOUND","quail",1,1,1,1
2,"peacock","FOUND","peacock",1,1,1,1
2,"monkey","FOUND","monkey",1,1,1,1
2,"ape","FOUND","ape",1,1,1,1
2,"chimpanzee","FOUND","chimpanzee",1,1,1,1
2,"kangaroo","FOUND","kangaroo",1,1,1,1
2,"koala","FOUND","koala",1,1,1,1
4,"cow","FOUND","cow",1,1,1,1
4,"pig","FOUND","pig",1,1,1,1
4,"chicken","FOUND","chicken",1,1,1,1
4,"giraffe","FOUND","giraffe",1,1,1,1
4,"elephant","FOUND","elephant",1,1,1,1
4,"panda","FOUND","panda",1,1,1,1
4,"turtle","FOUND","turtle",1,1,1,1
4,"fish","FOUND","fish",1,1,1,1
4,"snake","FOUND","snake",1,1,1,1
4,"cat","FOUND","cat",1,1,1,1
4,"dog","FOUND","dog",1,1,1,1
4,"horse","FOUND","horse",1,1,1,1
4,"lion","FOUND","lion",1,1,1,1
4,"shrimp","FOUND","shrimp",1,1,1,1
4,"starfish","FOUND","starfish",1,1,1,1
4,"spider","FOUND","spider",1,1,1,1
4,"alligator","FOUND","alligator",1,1,1,1
4,"bird","FOUND","bird",1,1,1,1
5,"monkey","FOUND","monkey",1,1,1,1
5,"giraffe","FOUND","giraffe",1,1,1,1
5,"elephant","FOUND","elephant",1,1,1,1
5,"tiger","FOUND","tiger",1,1,1,1
5,"cheetah","FOUND","cheetah",1,1,1,1
5,"lion","FOUND","lion",1,1,1,1
5,"kangaroo","FOUND","kangaroo",1,1,1,1
5,"opossum","FOUND","opossum",1,1,1,1
5,"raccoon","FOUND","raccoon",1,1,1,1
5,"quokka","FOUND","quokka",0,0,1,1
5,"cat","FOUND","cat",1,1,1,1
5,"dog","FOUND","dog",1,1,1,1
5,"bird","FOUND","bird",1,1,1,1
5,"parrot","FOUND","parrot",1,1,1,1
5,"turtle","FOUND","turtle",1,1,1,1
5,"fish","FOUND","fish",1,1,1,1
5,"whale","FOUND","whale",1,1,1,1
5,"starfish","FOUND","starfish",1,1,1,1
5,"honey badger","FOUND","honey badger",1,1,1,1
5,"wombat","FOUND","wombat",1,1,1,1
6,"goose","FOUND","goose",1,1,1,1
6,"duck","FOUND","duck",1,1,1,1
6,"chicken","FOUND","chicken",1,1,1,1
6,"snake","FOUND","snake",1,1,1,1
6,"lizard","FOUND","lizard",1,1,1,1
6,"alligator","FOUND","alligator",1,1,1,1
6,"turtle","FOUND","turtle",1,1,1,1
6,"frog","FOUND","frog",1,1,1,1
6,"newt","FOUND","newt",1,1,1,1
6,"skunk","FOUND","skunk",1,1,1,1
6,"stegasaurus","REPLACE","stegosaurus",0,1,0,1
6,"velociraptor","FOUND","velociraptor",1,1,1,1
6,"tyrannosaurus rex","FOUND","tyrannosaurus rex",1,1,1,1
6,"triceratops","FOUND","triceratops",1,1,1,1
6,"crow","FOUND","crow",1,1,1,1
6,"raven","FOUND","raven",1,1,1,1
6,"pigeon","FOUND","pigeon",1,1,1,1
6,"pheasant","FOUND","pheasant",1,1,1,1
6,"deer","FOUND","deer",1,1,1,1
6,"bear","FOUND","bear",1,1,1,1
6,"horse","FOUND","horse",1,1,1,1
6,"monkey","FOUND","monkey",1,1,1,1
6,"gorilla","FOUND","gorilla",1,1,1,1
6,"caiman","FOUND","caiman",1,1,1,1
6,"salamander","FOUND","salamander",1,1,1,1
6,"boa constrictor","FOUND","boa constrictor",1,1,1,1
7,"ant","FOUND","ant",1,1,1,1
7,"alligator","FOUND","alligator",1,1,1,1
7,"possum","FOUND","possum",1,1,1,1
7,"elephant","FOUND","elephant",1,1,1,1
7,"giraffe","FOUND","giraffe",1,1,1,1
7,"tiger","FOUND","tiger",1,1,1,1
7,"lion","FOUND","lion",1,1,1,1
7,"bear","FOUND","bear",1,1,1,1
7,"dog","FOUND","dog",1,1,1,1
7,"cat","FOUND","cat",1,1,1,1
7,"rat","FOUND","rat",1,1,1,1
7,"raccoon","FOUND","raccoon",1,1,1,1
7,"deer","FOUND","deer",1,1,1,1
7,"stink bug","REPLACE","stinkbug",0,1,1,0
7,"scorpion","FOUND","scorpion",1,1,1,1
7,"spider","FOUND","spider",1,1,1,1
7,"wolf","FOUND","wolf",1,1,1,1
7,"fox","FOUND","fox",1,1,1,1
7,"muskrat","FOUND","muskrat",1,1,1,1
7,"mouse","FOUND","mouse",1,1,1,1
7,"hamster","FOUND","hamster",1,1,1,1
7,"squirrel","FOUND","squirrel",1,1,1,1
7,"guinea pig","FOUND","guinea pig",1,1,1,1
7,"gerbil","FOUND","gerbil",1,1,1,1
7,"anteater","FOUND","anteater",1,1,1,1
7,"snake","FOUND","snake",1,1,1,1
11,"cat","FOUND","cat",1,1,1,1
11,"dog","FOUND","dog",1,1,1,1
11,"red panda","FOUND","red panda",1,1,1,1
11,"lemur","FOUND","lemur",1,1,1,1
11,"fennec fox","FOUND","fennec fox",1,1,1,1
11,"tiger","FOUND","tiger",1,1,1,1
11,"lion","FOUND","lion",1,1,1,1
11,"elephant","FOUND","elephant",1,1,1,1
11,"flamingo","FOUND","flamingo",1,1,1,1
11,"sandpiper","FOUND","sandpiper",1,1,1,1
11,"fairy tern","FOUND","fairy tern",0,0,1,1
11,"monkey","FOUND","monkey",1,1,1,1
11,"chimpanzee","FOUND","chimpanzee",1,1,1,1
11,"orangutan","FOUND","orangutan",1,1,1,1
11,"havanese dog","FOUND","havanese dog",0,0,1,1
11,"dog","FOUND","dog",1,1,1,1
11,"nap","REPLACE","asp",0,1,0,1
11,"snake","FOUND","snake",1,1,1,1
11,"garter snake","FOUND","garter snake",1,1,1,1
11,"deer","FOUND","deer",1,1,1,1
11,"fox","FOUND","fox",1,1,1,1
11,"porcupine","FOUND","porcupine",1,1,1,1
11,"hedgehog","FOUND","hedgehog",1,1,1,1
11,"ant","FOUND","ant",1,1,1,1
11,"butterfly","FOUND","butterfly",1,1,1,1
11,"dragonfly","FOUND","dragonfly",1,1,1,1
11,"rabbit","FOUND","rabbit",1,1,1,1
11,"chicken","FOUND","chicken",1,1,1,1
12,"anaconda","FOUND","anaconda",1,1,1,1
12,"bear","FOUND","bear",1,1,1,1
12,"cat","FOUND","cat",1,1,1,1
12,"dog","FOUND","dog",1,1,1,1
12,"frog","FOUND","frog",1,1,1,1
12,"goat","FOUND","goat",1,1,1,1
12,"iguana","FOUND","iguana",1,1,1,1
12,"jaguar","FOUND","jaguar",1,1,1,1
12,"kangaroo","FOUND","kangaroo",1,1,1,1
12,"llama","FOUND","llama",1,1,1,1
12,"orca","FOUND","orca",1,1,1,1
12,"penguin","FOUND","penguin",1,1,1,1
12,"rabbit","FOUND","rabbit",1,1,1,1
12,"spider","FOUND","spider",1,1,1,1
