SID,entry,evaluation,replacement,entryInSNAFU,replacementInSNAFU,entryInTroyerEx,replacementInTroyerEx,final_word,comments
805,dog,FOUND,dog,1,1,1,1,,
805,pig,FOUND,pig,1,1,1,1,,
805,sheep,FOUND,sheep,1,1,1,1,,
805,lamb,FOUND,lamb,1,1,1,1,,
805,ram,FOUND,ram,1,1,1,1,,
805,panda,FOUND,panda,1,1,1,1,,
805,bear,FOUND,bear,1,1,1,1,,
805,fish,FOUND,fish,1,1,1,1,,
805,eagle,FOUND,eagle,1,1,1,1,,
805,canary,FOUND,canary,1,1,1,1,,
805,crow,FOUND,crow,1,1,1,1,,
805,blue jay,FOUND,blue jay,1,1,1,1,,
805,chicken,FOUND,chicken,1,1,1,1,,
805,rabbit,FOUND,rabbit,1,1,1,1,,
805,muskrat,FOUND,muskrat,1,1,1,1,,
805,raccoon,FOUND,raccoon,1,1,1,1,,
805,skunk,FOUND,skunk,1,1,1,1,,
805,kangaroo,FOUND,kangaroo,1,1,1,1,,
805,spider,FOUND,spider,1,1,1,1,,
805,frog,FOUND,frog,1,1,1,1,,
805,toad,FOUND,toad,1,1,1,1,,
805,salamander,FOUND,salamander,1,1,1,1,,
805,zebra,FOUND,zebra,1,1,1,1,,
805,lion,FOUND,lion,1,1,1,1,,
805,wolf,FOUND,wolf,1,1,1,1,,
805,hyena,FOUND,hyena,1,1,1,1,,
805,giraffe,FOUND,giraffe,1,1,1,1,,
805,rhino,FOUND,rhino,1,1,1,1,,
809,dog,FOUND,dog,1,1,1,1,,
809,cat,FOUND,cat,1,1,1,1,,
809,gerbil,FOUND,gerbil,1,1,1,1,,
809,sugar glider,FOUND,sugar glider,1,1,1,1,,
809,hamster,FOUND,hamster,1,1,1,1,,
809,gecko,FOUND,gecko,1,1,1,1,,
809,lizard,FOUND,lizard,1,1,1,1,,
809,snake,FOUND,snake,1,1,1,1,,
809,fish,FOUND,fish,1,1,1,1,,
809,clownfish,FOUND,clownfish,1,1,1,1,,
809,shark,FOUND,shark,1,1,1,1,,
809,dolphin,FOUND,dolphin,1,1,1,1,,
809,whale,FOUND,whale,1,1,1,1,,
809,monkey,FOUND,monkey,1,1,1,1,,
809,tiger,FOUND,tiger,1,1,1,1,,
809,orangutan,FOUND,orangutan,1,1,1,1,,
809,bison,FOUND,bison,1,1,1,1,,
809,cow,FOUND,cow,1,1,1,1,,
809,bull,FOUND,bull,1,1,1,1,,
809,pig,FOUND,pig,1,1,1,1,,
809,chicken,FOUND,chicken,1,1,1,1,,
809,camel,FOUND,camel,1,1,1,1,,
809,swordfish,FOUND,swordfish,1,1,1,1,,
810,dog,FOUND,dog,1,1,1,1,,
810,cat,FOUND,cat,1,1,1,1,,
816,cat,FOUND,cat,1,1,1,1,,
816,dog,FOUND,dog,1,1,1,1,,
816,cow,FOUND,cow,1,1,1,1,,
816,tiger,FOUND,tiger,1,1,1,1,,
816,lion,FOUND,lion,1,1,1,1,,
816,horse,FOUND,horse,1,1,1,1,,
816,goat,FOUND,goat,1,1,1,1,,
816,sheep,FOUND,sheep,1,1,1,1,,
816,bird,FOUND,bird,1,1,1,1,,
816,penguin,FOUND,penguin,1,1,1,1,,
816,toucan,FOUND,toucan,1,1,1,1,,
816,squirrel,FOUND,squirrel,1,1,1,1,,
816,mouse,FOUND,mouse,1,1,1,1,,
816,rat,FOUND,rat,1,1,1,1,,
816,hamster,FOUND,hamster,1,1,1,1,,
816,rabbit,FOUND,rabbit,1,1,1,1,,
816,guinea pig,FOUND,guinea pig,1,1,1,1,,
816,lizard,FOUND,lizard,1,1,1,1,,
816,gecko,FOUND,gecko,1,1,1,1,,
816,slug,FOUND,slug,1,1,1,1,,
816,cricket,FOUND,cricket,1,1,1,1,,
817,wallaby,FOUND,wallaby,1,1,1,1,,
817,wombat,FOUND,wombat,1,1,1,1,,
817,aardvark,FOUND,aardvark,1,1,1,1,,
817,ant,FOUND,ant,1,1,1,1,,
817,anteater,FOUND,anteater,1,1,1,1,,
817,lamprey,FOUND,lamprey,1,1,1,1,,
817,kangaroo,FOUND,kangaroo,1,1,1,1,,
817,dog,FOUND,dog,1,1,1,1,,
817,cat,FOUND,cat,1,1,1,1,,
817,opossum,FOUND,opossum,1,1,1,1,,
817,sand tiger,EXCLUDE,EXCLUDE,0,0,0,0,,
817,eel,FOUND,eel,1,1,1,1,,
817,lion,FOUND,lion,1,1,1,1,,
817,horseshoe crab,FOUND,horseshoe crab,1,1,1,1,,
817,bull shark,FOUND,bull shark,1,1,1,1,,
817,wolf,FOUND,wolf,1,1,1,1,,
817,ferret,FOUND,ferret,1,1,1,1,,
817,gerbil,FOUND,gerbil,1,1,1,1,,
817,parrot,FOUND,parrot,1,1,1,1,,
817,parakeet,FOUND,parakeet,1,1,1,1,,
817,finch,FOUND,finch,1,1,1,1,,
817,eel,FOUND,eel,1,1,1,1,,
817,tiger shark,FOUND,tiger shark,1,1,1,1,,
817,blacktip shark,FOUND,blacktip shark,0,0,1,1,,
817,great white shark,FOUND,great white shark,1,1,1,1,,
817,gold finch,REPLACE,goldfinch,0,1,0,1,,
818,dog,FOUND,dog,1,1,1,1,,
818,raven,FOUND,raven,1,1,1,1,,
818,snake,FOUND,snake,1,1,1,1,,
818,woodpecker,FOUND,woodpecker,1,1,1,1,,
818,snow goose,FOUND,snow goose,0,0,1,1,,
818,falcon,FOUND,falcon,1,1,1,1,,
818,wolf,FOUND,wolf,1,1,1,1,,
818,bear,FOUND,bear,1,1,1,1,,
818,spider,FOUND,spider,1,1,1,1,,
818,praying mantis,FOUND,praying mantis,1,1,1,1,,
818,seagull,FOUND,seagull,1,1,1,1,,
818,crow,FOUND,crow,1,1,1,1,,
818,hawk,FOUND,hawk,1,1,1,1,,
818,deer,FOUND,deer,1,1,1,1,,
818,salmon,FOUND,salmon,1,1,1,1,,
818,owl,FOUND,owl,1,1,1,1,,
818,fish,FOUND,fish,1,1,1,1,,
821,aardvark,FOUND,aardvark,1,1,1,1,,
821,antelope,FOUND,antelope,1,1,1,1,,
821,anteater,FOUND,anteater,1,1,1,1,,
821,bat,FOUND,bat,1,1,1,1,,
821,cat,FOUND,cat,1,1,1,1,,
821,cougar,FOUND,cougar,1,1,1,1,,
821,dog,FOUND,dog,1,1,1,1,,
821,deer,FOUND,deer,1,1,1,1,,
821,elephant,FOUND,elephant,1,1,1,1,,
821,eel,FOUND,eel,1,1,1,1,,
821,goat,FOUND,goat,1,1,1,1,,
821,hen,FOUND,hen,1,1,1,1,,
821,jaguar,FOUND,jaguar,1,1,1,1,,
821,lion,FOUND,lion,1,1,1,1,,
821,giraffe,FOUND,giraffe,1,1,1,1,,
821,puma,FOUND,puma,1,1,1,1,,
821,python,FOUND,python,1,1,1,1,,
821,boa,FOUND,boa,0,0,0,0,,
821,viper,FOUND,viper,1,1,1,1,,
821,diamondback,FOUND,diamondback,1,1,1,1,,
821,lizard,FOUND,lizard,1,1,1,1,,
821,siamese cat,FOUND,siamese cat,1,1,1,1,,
821,calico cat,FOUND,calico cat,0,0,1,1,,
823,chicken,FOUND,chicken,1,1,1,1,,
823,cow,FOUND,cow,1,1,1,1,,
823,sheep,FOUND,sheep,1,1,1,1,,
823,goat,FOUND,goat,1,1,1,1,,
823,cat,FOUND,cat,1,1,1,1,,
823,dog,FOUND,dog,1,1,1,1,,
823,mouse,FOUND,mouse,1,1,1,1,,
823,bird,FOUND,bird,1,1,1,1,,
823,shark,FOUND,shark,1,1,1,1,,
823,whale,FOUND,whale,1,1,1,1,,
823,clownfish,FOUND,clownfish,1,1,1,1,,
823,angel fish,REPLACE,angelfish,0,1,0,1,,
823,turtle,FOUND,turtle,1,1,1,1,,
823,starfish,FOUND,starfish,1,1,1,1,,
823,eel,FOUND,eel,1,1,1,1,,
823,octopus,FOUND,octopus,1,1,1,1,,
823,crab,FOUND,crab,1,1,1,1,,
825,frog,FOUND,frog,1,1,1,1,,
825,fish,FOUND,fish,1,1,1,1,,
825,bird,FOUND,bird,1,1,1,1,,
825,zebra,FOUND,zebra,1,1,1,1,,
825,giraffe,FOUND,giraffe,1,1,1,1,,
825,lion,FOUND,lion,1,1,1,1,,
825,anteater,FOUND,anteater,1,1,1,1,,
825,pig,FOUND,pig,1,1,1,1,,
825,goat,FOUND,goat,1,1,1,1,,
825,horse,FOUND,horse,1,1,1,1,,
825,sloth,FOUND,sloth,1,1,1,1,,
825,fly,FOUND,fly,1,1,1,1,,
825,cricket,FOUND,cricket,1,1,1,1,,
825,snake,FOUND,snake,1,1,1,1,,
826,penguin,FOUND,penguin,1,1,1,1,,
826,dolphin,FOUND,dolphin,1,1,1,1,,
826,whale,FOUND,whale,1,1,1,1,,
826,shark,FOUND,shark,1,1,1,1,,
826,stingray,FOUND,stingray,1,1,1,1,,
826,lion,FOUND,lion,1,1,1,1,,
826,jaguar,FOUND,jaguar,1,1,1,1,,
826,giraffe,FOUND,giraffe,1,1,1,1,,
826,hippo,FOUND,hippo,0,0,1,1,,
826,flamingo,FOUND,flamingo,1,1,1,1,,
826,dog,FOUND,dog,1,1,1,1,,
826,cat,FOUND,cat,1,1,1,1,,
826,hamster,FOUND,hamster,1,1,1,1,,
826,snake,FOUND,snake,1,1,1,1,,
826,bird,FOUND,bird,1,1,1,1,,
826,jellyfish,FOUND,jellyfish,1,1,1,1,,
827,dog,FOUND,dog,1,1,1,1,,
827,terrier,FOUND,terrier,1,1,1,1,,
827,armadillo,FOUND,armadillo,1,1,1,1,,
827,porcupine,FOUND,porcupine,1,1,1,1,,
827,cuttlefish,FOUND,cuttlefish,1,1,1,1,,
827,octopus,FOUND,octopus,1,1,1,1,,
827,pufferfish,FOUND,pufferfish,1,1,1,1,,
827,gorilla,FOUND,gorilla,1,1,1,1,,
827,chimpanzee,FOUND,chimpanzee,1,1,1,1,,
827,giraffe,FOUND,giraffe,1,1,1,1,,
827,deer,FOUND,deer,1,1,1,1,,
827,elk,FOUND,elk,1,1,1,1,,
827,moose,FOUND,moose,1,1,1,1,,
827,stag beetle,FOUND,stag beetle,1,1,1,1,,
827,binturong,FOUND,binturong,1,1,1,1,,
827,cheetah,FOUND,cheetah,1,1,1,1,,
827,puma,FOUND,puma,1,1,1,1,,
827,lion,FOUND,lion,1,1,1,1,,
827,tiger,FOUND,tiger,1,1,1,1,,
827,bear,FOUND,bear,1,1,1,1,,
827,coyote,FOUND,coyote,1,1,1,1,,
827,poodle,FOUND,poodle,1,1,1,1,,
827,chihuahua,FOUND,chihuahua,1,1,1,1,,
827,cat,FOUND,cat,1,1,1,1,,
827,devon rex cat,EXCLUDE,EXCLUDE,0,0,0,0,,
827,tabby,FOUND,tabby,0,0,0,0,,
827,bird,FOUND,bird,1,1,1,1,,
827,crow,FOUND,crow,1,1,1,1,,
827,raven,FOUND,raven,1,1,1,1,,
827,eagle,FOUND,eagle,1,1,1,1,,
827,hawk,FOUND,hawk,1,1,1,1,,
827,grackle,FOUND,grackle,1,1,1,1,,
827,woodpecker,FOUND,woodpecker,1,1,1,1,,
827,fly,FOUND,fly,1,1,1,1,,
827,dragonfly,FOUND,dragonfly,1,1,1,1,,
829,pig,FOUND,pig,1,1,1,1,,
829,cow,FOUND,cow,1,1,1,1,,
