"Subject","Fluency_Item","norms_snafu_associative","v","subject","response","troyer_fluid_switch","troyer_static_switch","version","response_match","switch_match"
2,"bear",1,"V1",2,"bear",1,1,"V1",1,1
2,"bruin",0,"V1",2,"bruin",0,0,"V1",1,1
2,"antelope",1,"V1",2,"antelope",1,1,"V1",1,1
2,"anteater",1,"V1",2,"anteater",1,1,"V1",1,1
2,"ant",1,"V1",2,"ant",1,1,"V1",1,1
2,"cow",1,"V1",2,"cow",1,1,"V1",1,1
2,"cat",1,"V1",2,"cat",1,1,"V1",1,1
2,"dog",0,"V1",2,"dog",0,0,"V1",1,1
2,"chicken",1,"V1",2,"chicken",1,1,"V1",1,1
2,"rooster",0,"V1",2,"rooster",0,0,"V1",1,1
2,"ox",1,"V1",2,"ox",1,1,"V1",1,1
2,"zebra",1,"V1",2,"zebra",1,1,"V1",1,1
2,"tiger",0,"V1",2,"tiger",1,1,"V1",1,0
2,"lion",0,"V1",2,"lion",0,0,"V1",1,1
2,"quail",1,"V1",2,"quail",1,1,"V1",1,1
2,"peacock",0,"V1",2,"peacock",0,0,"V1",1,1
2,"monkey",1,"V1",2,"monkey",1,1,"V1",1,1
2,"ape",0,"V1",2,"ape",0,0,"V1",1,1
2,"chimpanzee",0,"V1",2,"chimpanzee",0,0,"V1",1,1
2,"kangaroo",1,"V1",2,"kangaroo",1,1,"V1",1,1
2,"koala",0,"V1",2,"koala",0,0,"V1",1,1
4,"pig",0,"V1",4,"pig",0,0,"V1",1,1
4,"chicken",0,"V1",4,"chicken",0,0,"V1",1,1
4,"giraffe",1,"V1",4,"giraffe",1,1,"V1",1,1
4,"elephant",0,"V1",4,"elephant",0,0,"V1",1,1
4,"panda",1,"V1",4,"panda",0,1,"V1",1,0
4,"turtle",1,"V1",4,"turtle",1,1,"V1",1,1
4,"fish",0,"V1",4,"fish",0,0,"V1",1,1
4,"snake",1,"V1",4,"snake",0,0,"V1",1,0
4,"cat",1,"V1",4,"cat",0,0,"V1",1,0
4,"dog",0,"V1",4,"dog",0,0,"V1",1,1
4,"horse",1,"V1",4,"horse",1,1,"V1",1,1
4,"lion",1,"V1",4,"lion",1,1,"V1",1,1
4,"shrimp",1,"V1",4,"shrimp",1,1,"V1",1,1
4,"starfish",1,"V1",4,"starfish",0,0,"V1",1,0
4,"spider",1,"V1",4,"spider",1,1,"V1",1,1
4,"alligator",1,"V1",4,"alligator",1,1,"V1",1,1
4,"bird",1,"V1",4,"bird",1,1,"V1",1,1
5,"giraffe",0,"V1",5,"giraffe",1,1,"V1",1,0
5,"elephant",0,"V1",5,"elephant",0,0,"V1",1,1
5,"tiger",0,"V1",5,"tiger",0,1,"V1",1,1
5,"cheetah",0,"V1",5,"cheetah",0,0,"V1",1,1
5,"lion",0,"V1",5,"lion",0,0,"V1",1,1
5,"kangaroo",1,"V1",5,"kangaroo",1,1,"V1",1,1
5,"opossum",1,"V1",5,"opossum",0,0,"V1",1,0
5,"raccoon",0,"V1",5,"raccoon",0,1,"V1",1,1
5,"quokka",1,"V1",5,"quokka",1,1,"V1",1,1
5,"cat",1,"V1",5,"cat",1,1,"V1",1,1
5,"dog",0,"V1",5,"dog",0,0,"V1",1,1
5,"bird",1,"V1",5,"bird",0,0,"V1",1,0
5,"parrot",0,"V1",5,"parrot",0,0,"V1",1,1
5,"turtle",1,"V1",5,"turtle",0,0,"V1",1,0
5,"fish",0,"V1",5,"fish",0,0,"V1",1,1
5,"whale",0,"V1",5,"whale",0,1,"V1",1,1
5,"starfish",0,"V1",5,"starfish",0,0,"V1",1,1
5,"honeybadger",1,"V1",5,"honeybadger",1,1,"V1",1,1
5,"wombat",1,"V1",5,"wombat",1,1,"V1",1,1
6,"duck",1,"V1",6,"duck",0,0,"V1",1,0
6,"chicken",0,"V1",6,"chicken",0,0,"V1",1,1
6,"snake",0,"V1",6,"snake",1,1,"V1",1,0
6,"lizard",0,"V1",6,"lizard",0,0,"V1",1,1
6,"alligator",0,"V1",6,"alligator",0,0,"V1",1,1
6,"turtle",0,"V1",6,"turtle",0,0,"V1",1,1
6,"frog",0,"V1",6,"frog",0,0,"V1",1,1
6,"newt",0,"V1",6,"newt",0,0,"V1",1,1
6,"skunk",1,"V1",6,"skunk",1,1,"V1",1,1
6,"stegosaurus",1,"V1",6,"stegosaurus",1,1,"V1",1,1
6,"velociraptor",0,"V1",6,"velociraptor",0,0,"V1",1,1
6,"tyrannosaurusrex",0,"V1",6,"tyrannosaurusrex",0,0,"V1",1,1
