Category,Item
africa,aardvark
africa,aardwolf
africa,african buffalo
africa,african elephant
africa,african penguin
africa,african wild dog
africa,antelope
africa,ape
africa,aye aye
africa,baboon
africa,ball python
africa,black mamba
africa,black panther
africa,black rhinoceros
africa,bonobo
africa,buffalo
africa,bush baby
africa,camel
africa,cheetah
africa,chimpanzee
africa,civet
africa,cobra
africa,dik dik
africa,duiker
africa,eland
africa,elephant
africa,fennec fox
africa,gazelle
africa,genet
africa,giraffe
africa,gnu
africa,gorilla
africa,guineafowl
africa,hippo
africa,hippopotamus
africa,honey badger
africa,hyena
africa,impala
africa,jackal
africa,kongoni
africa,kudu
africa,lemur
africa,leopard
africa,lion
africa,lioness
africa,macaque
africa,meerkat
africa,mongoose
africa,mousebird
africa,naked mole rat
africa,okapi
africa,oryx
africa,ostrich
africa,painted dog
africa,pangolin
africa,rhino
africa,rhinoceros
africa,ring tailed lemur
africa,rock hyrax
africa,sifaka
africa,silverback
africa,springbok
africa,steenbok
africa,tigerfish
africa,warthog
africa,white lion
africa,white rhinoceros
africa,wildebeest
africa,zebra
arcticAntarctica,alaskan wolf
arcticAntarctica,arctic fox
arcticAntarctica,beluga whale
arcticAntarctica,canada goose
arcticAntarctica,caribou
arcticAntarctica,emperor penguin
arcticAntarctica,greenland shark
arcticAntarctica,husky
arcticAntarctica,lemming
arcticAntarctica,malamute
arcticAntarctica,muskox
arcticAntarctica,narwhal
arcticAntarctica,penguin
arcticAntarctica,polar bear
arcticAntarctica,reindeer
arcticAntarctica,siberian husky
arcticAntarctica,snowy owl
arcticAntarctica,walrus
arcticAntarctica,wolverine
asiaEurasia,ape
asiaEurasia,asian elephant
asiaEurasia,bengal tiger
asiaEurasia,binturong
asiaEurasia,bison
asiaEurasia,black bear
asiaEurasia,black panther
asiaEurasia,black squirrel
asiaEurasia,blue ringed octopus
asiaEurasia,box turtle
asiaEurasia,brown bear
asiaEurasia,camel
asiaEurasia,chamois
asiaEurasia,chinese crocodile lizard
asiaEurasia,chinese water dragon
asiaEurasia,chipmunk
asiaEurasia,civet
asiaEurasia,clouded leopard
asiaEurasia,cobra
asiaEurasia,elephant
asiaEurasia,elk
asiaEurasia,gaur
asiaEurasia,gazelle
asiaEurasia,giant panda
asiaEurasia,gibbon
asiaEurasia,golden marmot
asiaEurasia,green tree python
asiaEurasia,honey badger
asiaEurasia,jackal
asiaEurasia,japanese beetle
asiaEurasia,junglefowl
asiaEurasia,king cobra
asiaEurasia,komodo dragon
asiaEurasia,leopard
asiaEurasia,lion
asiaEurasia,lioness
asiaEurasia,long tailed lizard
asiaEurasia,loris
asiaEurasia,macaque
asiaEurasia,moose
asiaEurasia,myna
asiaEurasia,orangutan
asiaEurasia,oryx
asiaEurasia,pallass cat
asiaEurasia,panda
asiaEurasia,pangolin
asiaEurasia,peacock
asiaEurasia,potbellied pig
asiaEurasia,red panda
asiaEurasia,rhino
asiaEurasia,rhinoceros
asiaEurasia,siberian tiger
asiaEurasia,sloth bear
asiaEurasia,snow leopard
asiaEurasia,snow lion
asiaEurasia,snow monkey
asiaEurasia,sun bear
asiaEurasia,tapir
asiaEurasia,tarsier
asiaEurasia,tibetan wolf
asiaEurasia,tiger
asiaEurasia,water buffalo
asiaEurasia,water monitor
asiaEurasia,white tiger
australia,bandicoot
australia,bearded dragon
australia,blue ringed octopus
australia,blue tongued skink
australia,dingo
australia,echidna
australia,emu
australia,fairy tern
australia,fierce snake
australia,green tree python
australia,kangaroo
australia,kiwi
australia,kiwi bird
australia,koala
australia,koala bear
australia,pink tongued skink
australia,platypus
australia,quokka
australia,rainbowfish
australia,sugar glider
australia,tasmanian devil
australia,tasmanian tiger
australia,wallaby
australia,wallaroo
australia,wombat
bears,bear
bears,black bear
bears,brown bear
bears,cub
bears,giant panda
bears,grizzly bear
bears,kodiak bear
bears,panda
bears,polar bear
bears,sloth bear
bears,sun bear
beastsOfBurden,ass
beastsOfBurden,burro
beastsOfBurden,camel
beastsOfBurden,colt
beastsOfBurden,donkey
beastsOfBurden,dromedary
beastsOfBurden,foal
beastsOfBurden,hinny
beastsOfBurden,horse
beastsOfBurden,husky
beastsOfBurden,llama
beastsOfBurden,malamute
beastsOfBurden,mare
beastsOfBurden,mule
beastsOfBurden,mustang
beastsOfBurden,ox
beastsOfBurden,pony
beastsOfBurden,siberian husky
beastsOfBurden,stallion
beastsOfBurden,steer
beastsOfBurden,trotter
beastsOfBurden,yak
birdsBats,african penguin
birdsBats,albatross
birdsBats,american woodcock
birdsBats,auk
birdsBats,avian
birdsBats,bald eagle
birdsBats,barn owl
birdsBats,bat
birdsBats,bird
birdsBats,bird of paradise
birdsBats,black hawk
birdsBats,blackbird
birdsBats,blue footed booby
birdsBats,blue jay
birdsBats,bluebird
birdsBats,bobolink
birdsBats,booby
birdsBats,budgie
birdsBats,bullfinch
birdsBats,bunting
birdsBats,buzzard
birdsBats,california condor
birdsBats,canada goose
birdsBats,canary
birdsBats,cardinal
birdsBats,chick
birdsBats,chickadee
birdsBats,chicken
birdsBats,cockatiel
birdsBats,cockatoo
birdsBats,condor
birdsBats,conure
birdsBats,coopers hawk
birdsBats,crane
birdsBats,crow
birdsBats,cuckoo
birdsBats,dodo
birdsBats,dove
birdsBats,drake
birdsBats,duck
birdsBats,duckling
birdsBats,eagle
birdsBats,eaglet
birdsBats,egret
birdsBats,emperor penguin
birdsBats,emu
birdsBats,fairy tern
birdsBats,falcon
birdsBats,finch
birdsBats,flamingo
birdsBats,flying fox
birdsBats,fowl
birdsBats,fruit bat
birdsBats,gander
birdsBats,golden eagle
birdsBats,golden plover
birdsBats,goldfinch
birdsBats,goose
birdsBats,goshawk
birdsBats,gosling
birdsBats,grackle
birdsBats,great blue heron
birdsBats,great horned owl
birdsBats,greater yellowlegs
birdsBats,grebe
birdsBats,grouse
birdsBats,guineafowl
birdsBats,gull
birdsBats,harrier
birdsBats,hawk
birdsBats,hen
birdsBats,heron
birdsBats,hummingbird
birdsBats,ibis
birdsBats,jackdaw
birdsBats,jay
birdsBats,junglefowl
birdsBats,killdeer
birdsBats,kingfisher
birdsBats,kite
birdsBats,kiwi
birdsBats,kiwi bird
birdsBats,lark
birdsBats,lesser yellowlegs
birdsBats,loon
