Switch_Method,Switches_per_Subj_mean,Switches_per_Subj_SD,Model,Beta_Frequency_mean,Beta_Frequency_std,Beta_Semantic_mean,Beta_Semantic_std,Beta_Phonological_mean,Beta_Phonological_std
delta_rise=0.0_fall=0.0,10.28125,3.4931573737093493,forage_dynamic,5.214675707580737,2.100121174429071,4.502642868495148,0.6210807450318313,,
delta_rise=0.0_fall=0.0,10.28125,3.4931573737093493,forage_phonologicaldynamicglobal,5.223275805715167,2.5647109339383407,5.727367172057162,2.136873691545057,-0.21916010636426977,0.4396049047231307
delta_rise=0.0_fall=0.0,10.28125,3.4931573737093493,forage_phonologicaldynamiclocal,5.313522340574152,2.568329990621395,6.436126026461718,2.2841844984986124,-0.378533706499887,0.5725364359146599
delta_rise=0.0_fall=0.0,10.28125,3.4931573737093493,forage_phonologicaldynamicswitch,5.176591402526286,2.0996670640622037,4.503176287810764,0.6217454069840193,-0.041192411996389254,0.20417357210006587
delta_rise=0.0_fall=0.25,9.8125,3.440907402125201,forage_dynamic,5.194346382065038,2.098031855715111,4.467715954326478,0.6078570963779047,,
delta_rise=0.0_fall=0.25,9.8125,3.440907402125201,forage_phonologicaldynamicglobal,5.200923311413517,2.563992773672391,5.7088062443134975,2.1408254601625454,-0.2290673889940439,0.4788517141709107
delta_rise=0.0_fall=0.25,9.8125,3.440907402125201,forage_phonologicaldynamiclocal,5.28646546779523,2.567141650656473,6.390211436894432,2.287452565271766,-0.3902264443553306,0.622494857025668
delta_rise=0.0_fall=0.25,9.8125,3.440907402125201,forage_phonologicaldynamicswitch,5.160142318757245,2.099020285868788,4.468357561494057,0.6084224411705669,-0.04817220275095622,0.15435034782839036
delta_rise=0.0_fall=0.5,8.625,2.8912583765550943,forage_dynamic,5.160305830660539,2.0942225681456392,4.390976009964562,0.5757443189428129,,
delta_rise=0.0_fall=0.5,8.625,2.8912583765550943,forage_phonologicaldynamicglobal,5.165815758270954,2.560823766841817,5.6558885597463,2.150385499690322,-0.22195588002523114,0.41160170611467317
delta_rise=0.0_fall=0.5,8.625,2.8912583765550943,forage_phonologicaldynamiclocal,5.240411916304628,2.5596550587639846,6.247118396750073,2.27421917141539,-0.3743995504843982,0.5843484113430125
delta_rise=0.0_fall=0.5,8.625,2.8912583765550943,forage_phonologicaldynamicswitch,5.13010991706741,2.096270261477773,4.3916835530713545,0.5761022228416892,-0.05900688832718459,0.12030877425161021
delta_rise=0.0_fall=0.75,7.40625,2.572199630180364,forage_dynamic,5.142822580991807,2.1053565985750784,4.282170044492912,0.581321636535421,,
delta_rise=0.0_fall=0.75,7.40625,2.572199630180364,forage_phonologicaldynamicglobal,5.143547455570009,2.567926533834551,5.535309979673095,2.16725959859485,-0.2287384612298355,0.4429639148234555
delta_rise=0.0_fall=0.75,7.40625,2.572199630180364,forage_phonologicaldynamiclocal,5.206641662705104,2.5668830989033635,5.9238934467175834,2.2667481593930168,-0.3426972081162601,0.5704016612456121
delta_rise=0.0_fall=0.75,7.40625,2.572199630180364,forage_phonologicaldynamicswitch,5.11319191448096,2.1061308876093956,4.282912782219003,0.5816778677941307,-0.1374178792070638,0.47546969736690725
delta_rise=0.0_fall=1.0,6.375,2.54644359843292,forage_dynamic,5.115009417537351,2.0974711729800264,4.199797107851511,0.5844019952036535,,
