Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,Phonological_Similarity_mean,Phonological_Similarity_std,#_of_Items,Switch_Method,Number_of_Switches,Cluster_Size_mean,Cluster_Size_std
805.0,0.4209693774663633,0.09318103141912336,3.838214285714286,0.6575208971270263,0.24636,0.16616457170193918,28.0,delta_rise=0.0_fall=0.0,12,2.1538461538461537,0.9483713850721502
805.0,,,,,,,,delta_rise=0.0_fall=0.25,11,2.3333333333333335,1.247219128924647
805.0,,,,,,,,delta_rise=0.0_fall=0.5,10,2.5454545454545454,1.4993111365882401
805.0,,,,,,,,delta_rise=0.0_fall=0.75,8,3.111111111111111,1.5947444549341472
805.0,,,,,,,,delta_rise=0.0_fall=1.0,7,3.5,1.7320508075688772
805.0,,,,,,,,delta_rise=0.25_fall=0.0,12,2.1538461538461537,0.9483713850721502
805.0,,,,,,,,delta_rise=0.25_fall=0.25,11,2.3333333333333335,1.247219128924647
805.0,,,,,,,,delta_rise=0.25_fall=0.5,10,2.5454545454545454,1.4993111365882401
805.0,,,,,,,,delta_rise=0.25_fall=0.75,8,3.111111111111111,1.5947444549341472
805.0,,,,,,,,delta_rise=0.25_fall=1.0,7,3.5,1.7320508075688772
805.0,,,,,,,,delta_rise=0.5_fall=0.0,14,1.8666666666666667,0.8844332774281066
805.0,,,,,,,,delta_rise=0.5_fall=0.25,13,2.0,1.1952286093343936
805.0,,,,,,,,delta_rise=0.5_fall=0.5,12,2.1538461538461537,1.4595127662315597
805.0,,,,,,,,delta_rise=0.5_fall=0.75,10,2.5454545454545454,1.6713433009863852
805.0,,,,,,,,delta_rise=0.5_fall=1.0,10,2.5454545454545454,1.6713433009863852
805.0,,,,,,,,delta_rise=0.75_fall=0.0,16,1.6470588235294117,0.8360394355030527
805.0,,,,,,,,delta_rise=0.75_fall=0.25,15,1.75,1.14564392373896
805.0,,,,,,,,delta_rise=0.75_fall=0.5,14,1.8666666666666667,1.4079141387961918
805.0,,,,,,,,delta_rise=0.75_fall=0.75,12,2.1538461538461537,1.6569737868106167
805.0,,,,,,,,delta_rise=0.75_fall=1.0,12,2.1538461538461537,1.6569737868106167
805.0,,,,,,,,delta_rise=1.0_fall=0.0,19,1.4,0.66332495807108
805.0,,,,,,,,delta_rise=1.0_fall=0.25,18,1.4736842105263157,0.9930506454796424
805.0,,,,,,,,delta_rise=1.0_fall=0.5,15,1.75,1.346291201783626
805.0,,,,,,,,delta_rise=1.0_fall=0.75,13,2.0,1.6035674514745464
805.0,,,,,,,,delta_rise=1.0_fall=1.0,13,2.0,1.6035674514745464
805.0,,,,,,,,multimodal_alpha=0.0,1,14.0,3.0
805.0,,,,,,,,multimodal_alpha=0.1,9,2.8,1.0770329614269007
805.0,,,,,,,,multimodal_alpha=0.2,9,2.8,1.0770329614269007
805.0,,,,,,,,multimodal_alpha=0.30000000000000004,9,2.8,1.0770329614269007
805.0,,,,,,,,multimodal_alpha=0.4,9,2.8,1.0770329614269007
805.0,,,,,,,,multimodal_alpha=0.5,9,2.8,1.0770329614269007
805.0,,,,,,,,multimodal_alpha=0.6000000000000001,10,2.5454545454545454,0.7820295697311479
805.0,,,,,,,,multimodal_alpha=0.7000000000000001,9,2.8,1.0770329614269007
805.0,,,,,,,,multimodal_alpha=0.8,9,2.8,1.0770329614269007
805.0,,,,,,,,multimodal_alpha=0.9,9,2.8,1.0770329614269007
805.0,,,,,,,,multimodal_alpha=1.0,9,2.8,1.0770329614269007
805.0,,,,,,,,multimodaldelta_alpha=0.0_rise=0.0_fall=0.0,20,1.4,0.66332495807108
805.0,,,,,,,,multimodaldelta_alpha=0.0_rise=0.0_fall=0.25,20,1.4,0.66332495807108
