Subject,Fluency_Item,Semantic_Similarity,Frequency_Value,Phonological_Similarity
805,dog,0.0001,5.1,0.0001
805,pig,0.4517392663990121,4.14,0.3333
805,sheep,0.4346000005916766,4.19,0.0001
805,lamb,0.6208552944936162,4.02,0.0001
805,ram,0.3668864890840884,4.19,0.6667
805,panda,0.3051099136317431,3.65,0.2
805,bear,0.43885555960615363,4.71,0.0001
805,fish,0.3372105215903183,4.9,0.0001
805,eagle,0.36542429401160126,4.13,0.0001
805,canary,0.28615974672807876,3.44,0.0001
805,crow,0.3455273483323624,3.8,0.3333
805,blue jay,0.39440442370951345,4.31,0.0001
805,chicken,0.29005711161593273,4.63,0.0001
805,rabbit,0.44005631902727704,4.05,0.2
805,muskrat,0.4105013675097873,2.41,0.1429
805,raccoon,0.48534171436006557,3.27,0.1429
805,skunk,0.5552248454552254,3.1,0.0001
805,kangaroo,0.357065922761451,3.5,0.1667
805,spider,0.38206539338772005,4.25,0.1667
805,frog,0.45846129732816765,3.89,0.0001
805,toad,0.6834819483409336,3.34,0.0001
805,salamander,0.4831209745929894,2.76,0.1111
805,zebra,0.34118136803011434,3.4,0.0001
805,lion,0.44709301963309955,4.25,0.0001
805,wolf,0.4539942796211922,4.35,0.0001
805,hyena,0.3857018138757038,2.8,0.0001
805,giraffe,0.37626523012495094,3.32,0.0001
805,rhino,0.46978772774903355,3.57,0.0001
809,dog,0.0001,5.1,0.0001
809,cat,0.6237586776418724,4.78,0.0001
809,gerbil,0.38456181467908523,2.44,0.0001
809,sugar glider,0.3283499437371784,3.08,0.1111
809,hamster,0.4347252330208087,3.31,0.1111
809,gecko,0.4083077109183286,2.91,0.0001
809,lizard,0.6375777966666752,3.63,0.0001
809,snake,0.4689230476663202,4.23,0.0001
809,fish,0.45576735846471994,4.9,0.0001
809,clownfish,0.5110230930369561,2.18,0.4286
809,shark,0.39359380521765863,4.1,0.0001
809,dolphin,0.4062871613011956,3.67,0.1667
809,whale,0.46004639817524906,3.98,0.1667
809,monkey,0.33432670530227293,4.07,0.0001
809,tiger,0.5143384411798758,4.3,0.0001
809,orangutan,0.3273473091724577,2.8,0.0001
809,bison,0.36816782390957414,3.26,0.25
809,cow,0.36623729077976486,4.14,0.0001
809,bull,0.5748645326837023,4.34,0.0001
809,pig,0.42131575691047396,4.14,0.0001
809,chicken,0.4295279429259016,4.63,0.2
809,camel,0.281880703133345,3.64,0.2
809,swordfish,0.24169892035762264,2.67,0.0001
810,dog,0.0001,5.1,0.0001
810,cat,0.6237586776418724,4.78,0.0001
816,cat,0.0001,4.78,0.0001
816,dog,0.6237586776418724,5.1,0.0001
816,cow,0.4576850906434975,4.14,0.0001
816,tiger,0.42703768371419404,4.3,0.0001
816,lion,0.5287590434181855,4.25,0.25
816,horse,0.4336705372740395,4.76,0.0001
816,goat,0.499247947330243,4.02,0.0001
816,sheep,0.49838371937602166,4.19,0.0001
816,bird,0.2719438466050179,4.63,0.0001
816,penguin,0.5171125779489641,3.78,0.0001
816,toucan,0.4364093222473612,2.36,0.1429
816,squirrel,0.2811587998256474,3.69,0.0001
816,mouse,0.3793123763948514,4.31,0.0001
816,rat,0.6046930033878715,4.17,0.0001
816,hamster,0.5229370647068682,3.31,0.3333
816,rabbit,0.5536260637718117,4.05,0.3333
816,guinea pig,0.5843230077435313,3.8,0.0001
816,lizard,0.3692957229309892,3.63,0.1
816,gecko,0.6375777966666752,2.91,0.0001
816,slug,0.21292440742713692,3.31,0.0001
816,cricket,0.24575974050498828,4.39,0.0001
817,wallaby,0.0001,2.64,0.0001
817,wombat,0.6216531600056378,2.58,0.3333
817,aardvark,0.5596604691491305,2.39,0.0001
817,ant,0.579469286949563,3.86,0.0001
817,anteater,0.6011530687443682,2.28,0.5
817,lamprey,0.4248988263295892,2.28,0.0001
817,kangaroo,0.329297517770349,3.5,0.0001
817,dog,0.3552557324806851,5.1,0.1667
817,cat,0.6237586776418724,4.78,0.0001
817,opossum,0.3522545249217577,2.47,0.0001
817,sand tiger shark,0.200821461017209,3.78,0.0001
817,eel,0.38578155723240126,3.23,0.0001
817,lion,0.33625362759820077,4.25,0.0001
817,horseshoe crab,0.23941657665445348,3.06,0.0833
817,bull shark,0.42149138808399345,3.9,0.25
817,wolf,0.35383087226694887,4.35,0.25
817,ferret,0.2898770963592583,3.01,0.0001
817,gerbil,0.5063798935174622,2.44,0.0001
817,parrot,0.38380837684447244,3.49,0.0001
817,parakeet,0.6563130923220547,2.48,0.7143
817,finch,0.42130294201733787,3.55,0.0001
817,eel,0.2084001519416122,3.23,0.0001
817,tiger shark,0.4578123209393661,3.89,0.0001
817,blacktip shark,0.6982343561887603,1.53,0.3333
817,great white shark,0.774730953677817,4.08,0.3333
817,goldfinch,0.18881681208538126,2.43,0.0909
818,dog,0.0001,5.1,0.0001
818,raven,0.2887978709629505,3.79,0.0001
818,snake,0.37890346655480456,4.23,0.0001
818,woodpecker,0.3315524888219179,2.82,0.1429
818,snow goose,0.41999857703768695,3.78,0.0001
818,falcon,0.3211140207744856,3.74,0.0001
818,wolf,0.3242427765860252,4.35,0.1667
818,bear,0.45870734867000285,4.71,0.0001
818,spider,0.44527944131501696,4.25,0.0001
818,praying mantis,0.45897984768662914,3.06,0.0001
818,seagull,0.24246735045939116,3.02,0.0001
818,crow,0.42384022196440885,3.8,0.0001
818,hawk,0.5187188954335081,3.81,0.0001
818,deer,0.29217077135580727,4.12,0.0001
818,salmon,0.36313750582590965,4.01,0.0001
818,owl,0.22885069672409541,3.87,0.0001
818,fish,0.26020129859270447,4.9,0.0001
821,aardvark,0.0001,2.39,0.0001
821,antelope,0.6168402852911546,3.08,0.0001
821,anteater,0.5740235702105237,2.28,0.4286
821,bat,0.37177824092817013,4.3,0.1667
821,cat,0.4680997377995356,4.78,0.6667
821,cougar,0.38672839366061096,3.38,0.25
821,dog,0.26885649582801663,5.1,0.25
821,deer,0.43079807384254154,4.12,0.3333
821,elephant,0.4567565415813153,4.08,0.0001
821,eel,0.3683861443729942,3.23,0.1429
821,goat,0.2149025880979638,4.02,0.0001
821,hen,0.3082888272250688,3.56,0.0001
821,jaguar,0.2594326205849502,3.51,0.0001
821,lion,0.4344251423448986,4.25,0.0001
821,giraffe,0.40956235129219287,3.32,0.0001
821,puma,0.2859999295941136,3.22,0.0001
821,python,0.197482317870183,3.78,0.2
821,boa,0.3175194342170923,3.18,0.0001
821,viper,0.3455528159051817,3.31,0.0001
821,diamondback,0.40318916620591727,2.39,0.1111
821,lizard,0.2759680542300802,3.63,0.1111
821,siamese cat,0.3734024817586612,2.96,0.0001
821,calico cat,0.6721440527269763,2.87,0.3
823,chicken,0.0001,4.63,0.0001
823,cow,0.4835791880000102,4.14,0.2
823,sheep,0.4888310248532248,4.19,0.0001
823,goat,0.49838371937602166,4.02,0.0001
823,cat,0.41494596660356753,4.78,0.3333
823,dog,0.6237586776418724,5.1,0.0001
823,mouse,0.49640472948031644,4.31,0.0001
823,bird,0.4435826181267303,4.63,0.0001
823,shark,0.36263468038013813,4.1,0.0001
823,whale,0.4783327474667829,3.98,0.0001
823,clownfish,0.37007870124527753,2.18,0.0001
823,angelfish,0.5486661320783867,1.95,0.25
823,turtle,0.35367297102582995,3.91,0.25
823,starfish,0.3921496025239415,3.0,0.1429
823,eel,0.4712028212692537,3.23,0.0001
823,octopus,0.5864078951169618,3.46,0.0001
823,crab,0.4125789708077585,3.76,0.1429
825,frog,0.0001,3.89,0.0001
825,fish,0.4198267496825392,4.9,0.25
825,bird,0.4946106208867136,4.63,0.0001
825,zebra,0.3199497112241584,3.4,0.2
825,giraffe,0.4528724633327149,3.32,0.0001
825,lion,0.40956235129219287,4.25,0.0001
825,anteater,0.35940779469260964,2.28,0.0001
825,pig,0.41587183813713535,4.14,0.0001
825,goat,0.47759878116887267,4.02,0.0001
825,horse,0.499247947330243,4.76,0.0001
825,sloth,0.2636205904050679,3.1,0.0001
825,fly,0.3331778282095482,4.75,0.25
