animals,occupations,things at the beach,things in a classroom,things you rescue from a burning home,excuses for being late
-0.0622203,-0.07902676,-0.06376488,-0.07663979,-0.04136303,-0.022487016
-0.005976966,-0.027230315,0.07983244,0.08248493,0.0048770276,0.0034490237
0.08221183,-0.041388914,0.04219389,0.032023035,-0.045708332,0.057024837
0.013943284,0.025705121,-0.039055195,-0.017601268,-0.044801332,-0.029878287
0.030544808,-0.049544543,0.0574908,0.041066885,0.059963394,0.068053305
0.0010847052,-0.038324825,0.06644799,0.09995351,-0.018267,-0.0196668
-0.0754895,-0.013429036,0.03956917,-0.014203474,-0.03657566,0.0044404985
0.0016645668,-0.060067832,-0.015455586,0.024798278,0.061478764,0.0022825242
-0.08028988,-0.0627774,-0.01736315,-0.029987467,-0.044820443,-0.048900876
0.027007205,-0.08747892,-0.031578958,0.032692134,0.0014259999,-0.0038659712
0.087460205,0.059016492,0.04077894,0.03249631,0.0716268,-0.008685147
0.08741906,-0.017370515,-0.045921337,-0.03188307,-0.02741467,-0.03048296
0.04177018,0.044648733,0.004742104,-0.028018788,-0.053834476,-0.0059662033
0.075619616,-0.061181147,0.06731614,0.08827435,-0.040716168,-0.04893159
0.031698916,0.06727962,0.07673853,0.028651454,0.064033896,0.05690018
-0.025201617,-0.06414037,-0.07142159,-0.080095164,-0.08337568,-0.07747617
0.010672874,-0.05878664,0.011975485,-0.014503638,-0.028031804,-0.01950182
-0.010471088,0.014762711,0.01976616,-0.0139107555,-0.00927662,0.024062337
-0.026195882,0.045827713,-0.0020011577,0.012698074,0.006259201,-0.024826601
-0.04537819,-0.033910897,-0.0512686,-0.105608664,0.005535912,-0.056644853
0.06712527,0.07907278,0.028558573,0.022391114,0.01945999,-0.052758075
0.035341054,0.027731486,0.05015672,0.052626453,0.019341538,0.033274632
0.031189336,0.034830175,0.018732289,-0.031660423,0.088750295,-0.06829344
0.06368918,-0.08046319,0.021726895,-0.07162118,-0.0046502417,0.032209095
-0.031734034,0.06628833,-0.007242671,-0.05442985,0.0007361153,0.053860083
0.023694603,-0.0010971354,0.080553405,-0.045452762,-0.029786779,0.06161536
-0.015581424,-0.059952367,0.052161995,-0.005095796,0.018327318,-0.008574455
-0.06801895,-0.0034436355,-0.056324787,-0.047093336,-0.045782205,-0.032567866
0.04751679,0.0073459106,0.0058741737,0.014871324,-0.0031097776,-0.015201176
-0.028725686,-0.030809805,-0.020040227,-0.021912733,-0.0028340877,-0.05168867
-0.017052058,-0.043227673,-0.048655044,-0.043796327,-0.071411595,0.05165239
-0.06148505,0.04017684,-0.088154644,-0.045702122,0.02781508,0.049048025
-0.06540146,-0.041271515,0.019660983,0.047607392,-0.023935655,-0.07266549
0.0031412817,-0.013851923,-0.07190726,-0.022706836,-0.080422334,-0.024465375
-0.054456376,-0.044414457,-0.019764554,-0.07492489,-0.0628374,0.039855585
0.03490386,0.046954036,0.04438057,-0.03014527,-0.038092006,-0.017588139
0.07039158,0.07433211,0.036650106,0.055812348,0.07358278,-0.053231496
-0.01270371,0.036308467,0.028842127,0.0094376365,0.005508664,-0.0510142
0.060005277,-0.029230393,0.020503413,-0.0021821577,0.021564571,-0.04279558
0.06317929,0.06054255,0.031625528,0.0022979619,-0.012107247,-0.0053706337
-0.03253436,-0.04104487,-0.011628526,0.018235022,-0.03603222,0.05014512
0.02724639,-0.03181987,0.041449036,-0.019962572,-0.011357648,0.013390948
-0.033380456,0.000232598,-0.046620015,-0.052483723,0.007786128,0.053132497
-0.06235932,-0.029025292,-0.050311718,-0.034873072,-0.047976945,0.001809389
-0.08746663,-0.014658208,-0.071746916,-0.0108512,-0.1005422,-0.027121475
-0.048165087,-0.02538137,-0.04424136,-0.011988211,-0.02383956,0.045924906
-0.052710023,-0.05588255,-0.07693923,-0.014849191,-0.08783572,-0.06116587
0.0053790356,0.0729345,0.04108787,-0.016693862,0.02295577,0.04069985
0.030757584,-0.034757446,-0.010980902,-0.010668803,-0.047059197,-0.034871653
0.007534666,-0.054315757,-0.0357967,-0.04698621,0.012537889,-0.028765863
0.08717126,0.006473053,0.029253505,-0.03763543,-0.018121239,0.03791295
0.038607493,0.07911977,0.0595658,0.08418014,0.08918026,0.06791874
0.07735268,0.054796442,-0.045562543,-0.06633054,-0.07445825,-0.052814193
-0.024318112,-0.03395497,0.011559304,-0.024186503,-0.036856227,-0.06503724
-0.004749855,0.070129886,-0.0655,0.015805868,-0.025050363,-0.0009550953
0.019010806,-0.015266567,-0.032043796,-0.020308955,-0.012059573,0.025035203
0.0026099766,0.0044675497,0.05773993,0.060031794,0.07194245,-0.008185349
-0.036824808,-0.0315588,0.03456413,0.038325977,-0.003763516,0.039543547
0.06774547,0.074982956,0.038543534,-0.0069505535,0.0033093612,0.02268622
-0.08745605,-0.07235362,-0.011100326,-0.04246292,0.0512882,-0.06363046
0.0022297904,0.027649743,0.042574722,-0.012643404,-0.036216665,-0.029099412
0.0357624,0.058146615,-0.024912873,-0.035310254,0.026034946,-0.061149336
-0.08595095,-0.024733765,0.004442218,-0.019529086,-0.03758068,-0.03638643
0.05981939,0.006031931,0.055860955,-0.007985826,0.04925373,0.0031055885
0.08734324,-0.0142431045,-0.026128503,0.07049829,0.09342671,-0.0050659906
0.042682625,0.025255047,0.044236768,0.07828194,0.07176629,0.031496387
-0.036962494,-0.03224968,0.0039995764,-0.0051340414,-0.0053185076,-0.015959306
-0.03270235,0.0025131146,0.0011456814,-0.01662217,0.03532654,-0.0052883453
0.041042227,-6.580655e-05,0.085562505,0.054608773,0.044943415,0.017041704
0.047643933,-0.048501533,-0.027214568,-0.041747298,0.08469034,-0.049876396
-0.07209863,-0.045277476,0.03183309,-0.0020448149,-0.012560307,-0.026175978
-0.021325026,-0.084138595,0.030453695,0.032883212,0.0827931,-0.07148422
-0.030550275,-0.04511148,0.04256935,0.034916453,0.010490641,0.02482127
