Switch_Method,Switches_per_Subj_mean,Switches_per_Subj_SD,Model,Beta_Frequency_mean,Beta_Frequency_std,Beta_Semantic_mean,Beta_Semantic_std,Beta_Phonological_mean,Beta_Phonological_std
delta_rise=0.0_fall=0.0,10.395833333333334,2.956205220473632,forage_dynamic,5.212623983966404,1.4110226894960085,4.536927176765487,0.5707337291444907,,
delta_rise=0.0_fall=0.0,10.395833333333334,2.956205220473632,forage_phonologicaldynamicglobal,5.100879906291257,1.3615007484172235,5.360564186549929,0.9465892110903752,-0.13361694249286446,0.09602384941275156
delta_rise=0.0_fall=0.0,10.395833333333334,2.956205220473632,forage_phonologicaldynamiclocal,5.198261561577099,1.3996023468828518,6.08399145255956,1.6249732295410708,-0.2918400942389622,0.44118734720619157
delta_rise=0.0_fall=0.0,10.395833333333334,2.956205220473632,forage_phonologicaldynamicswitch,5.172588896258877,1.3951410998686475,4.537715837266039,0.5701739651454398,-0.10879761332257652,0.3567180289534847
delta_rise=0.0_fall=0.25,9.713541666666666,2.8497485193019907,forage_dynamic,5.192817048843272,1.3982356684531028,4.502565047755371,0.5706245479205477,,
delta_rise=0.0_fall=0.25,9.713541666666666,2.8497485193019907,forage_phonologicaldynamicglobal,5.080164835710056,1.3468204916658268,5.34508187945688,0.9444272312997133,-0.13739136776644315,0.09683886470684466
delta_rise=0.0_fall=0.25,9.713541666666666,2.8497485193019907,forage_phonologicaldynamiclocal,5.171252371398773,1.375126656932969,5.95992032389547,1.4865877290299938,-0.2823209708498822,0.4415961599555306
delta_rise=0.0_fall=0.25,9.713541666666666,2.8497485193019907,forage_phonologicaldynamicswitch,5.152695612229637,1.3840313048832207,4.503366566934738,0.5699755176427801,-0.1108473348782386,0.34789540785962897
delta_rise=0.0_fall=0.5,8.921875,2.757403032633242,forage_dynamic,5.1681748369245115,1.3954018907366579,4.454955284071785,0.5713385879215018,,
delta_rise=0.0_fall=0.5,8.921875,2.757403032633242,forage_phonologicaldynamicglobal,5.053283895827028,1.3418568351010374,5.314199857066373,0.9590887017942731,-0.1411779460753085,0.09841309418140219
delta_rise=0.0_fall=0.5,8.921875,2.757403032633242,forage_phonologicaldynamiclocal,5.136271041650997,1.3650898288511888,5.858236894283929,1.4218842416538284,-0.2723046165921732,0.4307937552463305
delta_rise=0.0_fall=0.5,8.921875,2.757403032633242,forage_phonologicaldynamicswitch,5.1301375357572025,1.3804182070082511,4.455735215404938,0.5708425076419199,-0.1440376593820837,0.4523092792198982
delta_rise=0.0_fall=0.75,7.630208333333333,2.5194501628855233,forage_dynamic,5.139667853601876,1.3963930719427415,4.347191645201817,0.5675608057116107,,
delta_rise=0.0_fall=0.75,7.630208333333333,2.5194501628855233,forage_phonologicaldynamicglobal,5.022520842189025,1.3424045287969313,5.2063851509161605,0.9594176841079942,-0.14385762776312724,0.0981769130699734
delta_rise=0.0_fall=0.75,7.630208333333333,2.5194501628855233,forage_phonologicaldynamiclocal,5.091054015545444,1.3642818859365005,5.632635146497442,1.3278434828313204,-0.22639026042588883,0.28102694106484566
delta_rise=0.0_fall=0.75,7.630208333333333,2.5194501628855233,forage_phonologicaldynamicswitch,5.1062933644008055,1.3812717964985055,4.347906086970626,0.5671234406319091,-0.20701487331714918,0.5954264457151218
delta_rise=0.0_fall=1.0,6.442708333333333,2.2928441577214143,forage_dynamic,5.1007920222517,1.3831750131133513,4.232371399077059,0.5769970307782386,,
delta_rise=0.0_fall=1.0,6.442708333333333,2.2928441577214143,forage_phonologicaldynamicglobal,4.9831060318947085,1.3276273838948287,5.0746355640737955,0.9585645781896565,-0.14415348804622025,0.09774095737335006
delta_rise=0.0_fall=1.0,6.442708333333333,2.2928441577214143,forage_phonologicaldynamiclocal,5.038031659622053,1.3480429633272824,5.4186886324222145,1.287127985043686,-0.21482212595080255,0.27270424040368035
delta_rise=0.0_fall=1.0,6.442708333333333,2.2928441577214143,forage_phonologicaldynamicswitch,5.072429767556961,1.3676808601756425,4.233054961771517,0.5767233353716991,-0.2569220861516626,0.7081430189329103
delta_rise=0.25_fall=0.0,11.25,3.185252475602732,forage_dynamic,5.224370007111951,1.4112126133847867,4.639449354081454,0.5644041030413111,,
delta_rise=0.25_fall=0.0,11.25,3.185252475602732,forage_phonologicaldynamicglobal,5.113197682262291,1.3633540942251487,5.472326896067614,0.936981321510337,-0.1327354793939435,0.0965060006355523
delta_rise=0.25_fall=0.0,11.25,3.185252475602732,forage_phonologicaldynamiclocal,5.222098405721706,1.404756170345111,6.36468502797601,1.7541182398895747,-0.3333768253315533,0.513577300937028
delta_rise=0.25_fall=0.0,11.25,3.185252475602732,forage_phonologicaldynamicswitch,5.182934994539,1.3949811856789847,4.640160084004019,0.563629668519729,-0.09656814180991656,0.30420132109842046
delta_rise=0.25_fall=0.25,10.583333333333334,3.1096846928408817,forage_dynamic,5.203752350148485,1.39851750702102,4.603010043943134,0.570830713735538,,
delta_rise=0.25_fall=0.25,10.583333333333334,3.1096846928408817,forage_phonologicaldynamicglobal,5.091372321308026,1.3488865411206357,5.455533183603339,0.9402038167126472,-0.1366167116978486,0.0972588861980855
delta_rise=0.25_fall=0.25,10.583333333333334,3.1096846928408817,forage_phonologicaldynamiclocal,5.194579865753765,1.3796359415752897,6.232741027085155,1.6507855853914657,-0.3202812554252882,0.5025365969366458
delta_rise=0.25_fall=0.25,10.583333333333334,3.1096846928408817,forage_phonologicaldynamicswitch,5.161919593431931,1.3833945565608627,4.6037382283040404,0.5700955041989183,-0.10173315121680253,0.31462742152395096
delta_rise=0.25_fall=0.5,9.786458333333334,3.0790325791170003,forage_dynamic,5.180307792820414,1.394556902973493,4.551330620204964,0.5742047670355491,,
delta_rise=0.25_fall=0.5,9.786458333333334,3.0790325791170003,forage_phonologicaldynamicglobal,5.065420345637184,1.3423389459566815,5.422848920319455,0.9646376158089207,-0.14060778105868635,0.09910564386022903
delta_rise=0.25_fall=0.5,9.786458333333334,3.0790325791170003,forage_phonologicaldynamiclocal,5.159924131582027,1.368386063870589,6.1178988744930605,1.6090463312196235,-0.30725242915983436,0.4833641596036361
delta_rise=0.25_fall=0.5,9.786458333333334,3.0790325791170003,forage_phonologicaldynamicswitch,5.139805903424533,1.3780767325751135,4.55203945952739,0.5735702929895194,-0.14414929551490033,0.4790493695439822
delta_rise=0.25_fall=0.75,8.447916666666666,2.824261672199578,forage_dynamic,5.147886659962936,1.3998722447825906,4.430951451229641,0.565643209808073,,
delta_rise=0.25_fall=0.75,8.447916666666666,2.824261672199578,forage_phonologicaldynamicglobal,5.030836730719253,1.346975036801503,5.306390845516324,0.9689376970973764,-0.14391546142585226,0.09893619237469298
delta_rise=0.25_fall=0.75,8.447916666666666,2.824261672199578,forage_phonologicaldynamiclocal,5.109498213210031,1.3708535990847985,5.853018613799218,1.489692819548902,-0.25605177023725684,0.3425338928831025
delta_rise=0.25_fall=0.75,8.447916666666666,2.824261672199578,forage_phonologicaldynamicswitch,5.112105077294299,1.3836944241509594,4.431678063389052,0.5652447077278262,-0.18657204034532596,0.5515868795151585
delta_rise=0.25_fall=1.0,7.130208333333333,2.6435306170468102,forage_dynamic,5.109178707317112,1.3877482062725899,4.302280304142412,0.577851091976952,,
delta_rise=0.25_fall=1.0,7.130208333333333,2.6435306170468102,forage_phonologicaldynamicglobal,4.991108636657102,1.3330656502976126,5.160244806016485,0.9616841014251012,-0.14453092638379036,0.09816620852545449
delta_rise=0.25_fall=1.0,7.130208333333333,2.6435306170468102,forage_phonologicaldynamiclocal,5.05480889807036,1.3557499240266715,5.599492978791585,1.4365286593440159,-0.24946409629187896,0.38583879699032564
delta_rise=0.25_fall=1.0,7.130208333333333,2.6435306170468102,forage_phonologicaldynamicswitch,5.0784745377177645,1.370550993497892,4.302978271557273,0.5775602075793353,-0.222617087542061,0.6273690639749753
delta_rise=0.5_fall=0.0,12.328125,3.5313537042294416,forage_dynamic,5.237101618973246,1.4162139323463578,4.775031931030975,0.5811827264027016,,
delta_rise=0.5_fall=0.0,12.328125,3.5313537042294416,forage_phonologicaldynamicglobal,5.1280890118691795,1.3702459728734602,5.609553535028875,0.9404326576542573,-0.1299297811888367,0.09641287028545954
delta_rise=0.5_fall=0.0,12.328125,3.5313537042294416,forage_phonologicaldynamiclocal,5.257616256419932,1.4210735940516452,6.845879534122854,2.1388343866480595,-0.4173941858667787,0.6243882498168326
delta_rise=0.5_fall=0.0,12.328125,3.5313537042294416,forage_phonologicaldynamicswitch,5.194938483307847,1.401035844235887,4.775739596015556,0.5806033814964974,-0.0946756998176907,0.3117596488798909
