Subject,Fluency_Item,Semantic_Similarity,Frequency_Value,Phonological_Similarity
2,alpaca,0.0001,2.8,0.0001
2,bear,0.2605746728846503,4.71,0.0001
2,bruin,0.45753418082856223,2.52,0.2
2,antelope,0.29909586223307105,3.08,0.0001
2,anteater,0.5740235702105237,2.28,0.4286
2,ant,0.6011530687443682,3.86,0.5
2,cow,0.344340668751857,4.14,0.0001
2,cat,0.4396570106857174,4.78,0.3333
2,dog,0.6237586776418724,5.1,0.0001
2,chicken,0.45248563201920244,4.63,0.0001
2,rooster,0.6102020858305408,3.31,0.0001
2,ox,0.3624753369757606,3.47,0.2
2,zebra,0.19650385555011796,3.4,0.0001
2,tiger,0.3613058323254972,4.3,0.0001
2,lion,0.5287590434181855,4.25,0.25
2,quail,0.2995782325301961,3.13,0.0001
2,peacock,0.44566366798729473,3.44,0.0001
2,monkey,0.36384702274965197,4.07,0.0001
2,ape,0.6734808024803075,3.48,0.0001
2,chimpanzee,0.7299058484889525,2.96,0.125
2,kangaroo,0.447393031946106,3.5,0.0001
2,koala,0.6206977653718412,3.04,0.1667
4,cow,0.0001,4.14,0.0001
4,pig,0.5070622080559183,4.14,0.0001
4,chicken,0.4295279429259016,4.63,0.2
4,giraffe,0.2973876443382468,3.32,0.0001
4,elephant,0.5317287512193349,4.08,0.1429
4,panda,0.3390136422827086,3.65,0.1429
4,turtle,0.3653430986616646,3.91,0.0001
4,fish,0.4278678007663548,4.9,0.0001
4,snake,0.45576735846471994,4.23,0.0001
4,cat,0.4411978121673301,4.78,0.0001
4,dog,0.6237586776418724,5.1,0.0001
4,horse,0.5956302472299828,4.76,0.25
4,lion,0.4336705372740395,4.25,0.0001
4,shrimp,0.27574362747292547,3.79,0.0001
4,starfish,0.4748405095721052,3.0,0.1429
4,spider,0.35274062666319694,4.25,0.1429
4,alligator,0.3258113127145317,3.32,0.1429
4,bird,0.34629625464639635,4.63,0.0001
5,monkey,0.0001,4.07,0.0001
5,giraffe,0.32872687194020234,3.32,0.0001
5,elephant,0.5317287512193349,4.08,0.1429
5,tiger,0.5129784205874345,4.3,0.0001
5,cheetah,0.4710965836328509,3.2,0.0001
5,lion,0.47627769689067656,4.25,0.0001
5,kangaroo,0.33868968123222576,3.5,0.0001
5,opossum,0.42024838953354937,2.47,0.0001
5,raccoon,0.6335855730043713,3.27,0.0001
5,quokka,0.38691700165942877,1.5,0.1429
5,cat,0.3896644283707923,4.78,0.1429
5,dog,0.6237586776418724,5.1,0.0001
5,bird,0.48985400383267064,4.63,0.0001
5,parrot,0.5972170069185448,3.49,0.0001
5,turtle,0.37616425558277267,3.91,0.2
5,fish,0.4278678007663548,4.9,0.0001
5,whale,0.48847782165979226,3.98,0.0001
5,starfish,0.3841910199046603,3.0,0.0001
5,honey badger,0.30832424665045877,3.43,0.0001
5,wombat,0.4515324789019639,2.58,0.125
6,goose,0.0001,3.84,0.0001
6,duck,0.6371378990469865,4.21,0.0001
6,chicken,0.4831644117495094,4.63,0.2
6,snake,0.4182930592625088,4.23,0.0001
6,lizard,0.4689230476663202,3.63,0.0001
6,alligator,0.49342019559280503,3.32,0.1429
6,turtle,0.44770278363675553,3.91,0.0001
6,frog,0.5018993791623642,3.89,0.0001
6,newt,0.4189737577616629,3.23,0.0001
6,skunk,0.28040023878613873,3.1,0.0001
6,stegosaurus,0.2564807210356267,2.12,0.1
6,velociraptor,0.7611078139957301,2.33,0.0909
6,tyrannosaurus rex,0.6546144909433643,2.57,0.1765
6,triceratops,0.6392346209385964,2.38,0.2941
6,crow,0.25075538472522263,3.8,0.0909
6,raven,0.5792481965467113,3.79,0.0001
6,pigeon,0.3008812312250626,3.61,0.4
6,pheasant,0.4929278597725655,3.03,0.3333
6,deer,0.5000315306087765,4.12,0.0001
6,bear,0.4216487799750541,4.71,0.3333
6,horse,0.4262808803846909,4.76,0.25
6,monkey,0.4428983473697278,4.07,0.0001
6,gorilla,0.5429598812111095,3.62,0.0001
6,caiman,0.22547729097062041,2.21,0.0001
6,salamander,0.42548362490706915,2.76,0.3333
6,boa constrictor,0.39438059100310896,2.32,0.1538
7,ant,0.0001,3.86,0.0001
7,alligator,0.25608550994504864,3.32,0.2857
7,possum,0.4440794682448488,2.94,0.0001
7,elephant,0.43103256618449715,4.08,0.1429
7,giraffe,0.5317287512193349,3.32,0.1429
7,tiger,0.28767526557057055,4.3,0.0001
7,lion,0.5287590434181855,4.25,0.25
7,bear,0.4909899626699804,4.71,0.0001
7,dog,0.46636329670712706,5.1,0.0001
7,cat,0.6237586776418724,4.78,0.0001
7,rat,0.5271154788076963,4.17,0.6667
7,raccoon,0.397686529408835,3.27,0.2
7,deer,0.3550541919020076,4.12,0.0001
7,stinkbug,0.3673871141882403,1.27,0.125
7,scorpion,0.3157992103031947,3.37,0.25
7,spider,0.45075212452743085,4.25,0.25
7,wolf,0.3934981730443984,4.35,0.0001
7,fox,0.5029350513284392,4.66,0.0001
7,muskrat,0.27570292111775707,2.41,0.1429
7,mouse,0.39202385269004836,4.31,0.2857
7,hamster,0.47310706894873045,3.31,0.1667
7,squirrel,0.37309998958438906,3.69,0.0001
7,guinea pig,0.3025850885607818,3.8,0.0001
7,gerbil,0.5606300473020106,2.44,0.1
7,anteater,0.28195612866969966,2.28,0.0001
7,snake,0.31370106450711943,4.23,0.1667
11,cat,0.0001,4.78,0.0001
11,dog,0.6237586776418724,5.1,0.0001
11,red panda,0.2796249338439061,3.64,0.125
11,lemur,0.2850006817407691,2.57,0.0001
11,fennec fox,0.48372632294217754,2.03,0.1
11,tiger,0.32362753231631214,4.3,0.0001
11,lion,0.5287590434181855,4.25,0.25
11,elephant,0.5054773378551576,4.08,0.4286
11,flamingo,0.4406495222478004,3.06,0.25
