Model,k
forage_static,2
forage_dynamic_simdrop,2
forage_dynamic_multimodal_alpha=0.0,3
forage_dynamic_multimodal_alpha=0.1,3
forage_dynamic_multimodal_alpha=0.2,3
forage_dynamic_multimodal_alpha=0.30000000000000004,3
forage_dynamic_multimodal_alpha=0.4,3
forage_dynamic_multimodal_alpha=0.5,3
forage_dynamic_multimodal_alpha=0.6000000000000001,3
forage_dynamic_multimodal_alpha=0.7000000000000001,3
forage_dynamic_multimodal_alpha=0.8,3
forage_dynamic_multimodal_alpha=0.9,3
forage_dynamic_multimodal_alpha=1.0,3
forage_dynamic_norms_associative,2
forage_dynamic_norms_categorical,2
forage_dynamic_delta_rise=0.0_fall=0.0,4
forage_dynamic_delta_rise=0.0_fall=0.25,4
forage_dynamic_delta_rise=0.0_fall=0.5,4
forage_dynamic_delta_rise=0.0_fall=0.75,4
forage_dynamic_delta_rise=0.0_fall=1.0,4
forage_dynamic_delta_rise=0.25_fall=0.0,4
forage_dynamic_delta_rise=0.25_fall=0.25,4
forage_dynamic_delta_rise=0.25_fall=0.5,4
forage_dynamic_delta_rise=0.25_fall=0.75,4
forage_dynamic_delta_rise=0.25_fall=1.0,4
forage_dynamic_delta_rise=0.5_fall=0.0,4
forage_dynamic_delta_rise=0.5_fall=0.25,4
forage_dynamic_delta_rise=0.5_fall=0.5,4
forage_dynamic_delta_rise=0.5_fall=0.75,4
forage_dynamic_delta_rise=0.5_fall=1.0,4
forage_dynamic_delta_rise=0.75_fall=0.0,4
forage_dynamic_delta_rise=0.75_fall=0.25,4
forage_dynamic_delta_rise=0.75_fall=0.5,4
forage_dynamic_delta_rise=0.75_fall=0.75,4
forage_dynamic_delta_rise=0.75_fall=1.0,4
forage_dynamic_delta_rise=1.0_fall=0.0,4
forage_dynamic_delta_rise=1.0_fall=0.25,4
forage_dynamic_delta_rise=1.0_fall=0.5,4
forage_dynamic_delta_rise=1.0_fall=0.75,4
forage_dynamic_delta_rise=1.0_fall=1.0,4
forage_dynamic_multimodaldelta_alpha=0.0_rise=0.0_fall=0.0,5
forage_dynamic_multimodaldelta_alpha=0.0_rise=0.0_fall=0.25,5
forage_dynamic_multimodaldelta_alpha=0.0_rise=0.0_fall=0.5,5
forage_dynamic_multimodaldelta_alpha=0.0_rise=0.0_fall=0.75,5
forage_dynamic_multimodaldelta_alpha=0.0_rise=0.0_fall=1.0,5
forage_dynamic_multimodaldelta_alpha=0.0_rise=0.25_fall=0.0,5
forage_dynamic_multimodaldelta_alpha=0.0_rise=0.25_fall=0.25,5
forage_dynamic_multimodaldelta_alpha=0.0_rise=0.25_fall=0.5,5
forage_dynamic_multimodaldelta_alpha=0.0_rise=0.25_fall=0.75,5
forage_dynamic_multimodaldelta_alpha=0.0_rise=0.25_fall=1.0,5
forage_dynamic_multimodaldelta_alpha=0.0_rise=0.5_fall=0.0,5
