"subject","total_items","mean_rel_position","n_revisited_categories","total_revisits","prop_unique_revisited"
801,17,0.635294117647059,4,5,0.8
802,13,0.692307692307692,1,1,1
803,21,0.682539682539683,2,3,0.666666666666667
804,24,0.595238095238095,8,10,0.8
805,17,0.637254901960784,6,9,0.666666666666667
806,22,0.704545454545455,7,7,1
807,27,0.614197530864197,12,17,0.705882352941177
808,25,0.7,4,4,1
809,22,0.848484848484849,3,3,1
810,8,0.875,1,1,1
811,15,0.4,1,1,1
812,25,0.92,4,4,1
813,19,0.596491228070175,7,10,0.7
814,23,0.5,5,5,1
816,24,0.625,6,7,0.857142857142857
818,20,0.625,7,9,0.777777777777778
819,18,0.694444444444444,4,7,0.571428571428571
820,31,0.467741935483871,6,8,0.75
821,20,0.475,5,8,0.625
822,24,0.527777777777778,6,9,0.666666666666667
823,24,0.416666666666667,1,1,1
824,19,0.557894736842105,5,6,0.833333333333333
825,25,0.773333333333333,4,4,1
826,18,0.75,5,5,1
827,21,0.69047619047619,4,6,0.666666666666667
828,24,0.680555555555556,3,5,0.6
829,15,0.85,5,5,1
831,23,0.630434782608696,6,9,0.666666666666667
832,17,0.705882352941176,5,5,1
833,13,0.717948717948718,3,3,1
834,16,0.7625,6,7,0.857142857142857
835,18,0.6,5,7,0.714285714285714
837,24,0.763888888888889,4,5,0.8
838,21,0.657142857142857,6,7,0.857142857142857
839,23,0.507246376811594,6,7,0.857142857142857
840,27,0.62037037037037,9,11,0.818181818181818
841,29,0.524904214559387,8,12,0.666666666666667
842,22,0.798701298701299,8,10,0.8
843,19,0.649122807017544,7,8,0.875
844,28,0.660714285714286,5,5,1
845,14,0.7,7,10,0.7
846,30,0.546666666666667,6,9,0.666666666666667
847,25,0.66,8,10,0.8
848,30,0.32,4,5,0.8
849,26,0.628205128205128,3,3,1
850,10,0.7,3,5,0.6
851,31,0.475806451612903,5,5,1
852,25,0.58,5,10,0.5
853,10,0.85,2,2,1
854,22,0.636363636363636,6,9,0.666666666666667
855,29,0.672413793103448,7,14,0.5
856,19,0.842105263157895,7,9,0.777777777777778
857,13,0.661538461538462,6,6,1
858,22,0.603896103896104,6,11,0.545454545454545
859,28,0.75,3,4,0.75
860,16,0.640625,3,4,0.75
861,16,0.875,5,5,1
862,22,0.721590909090909,6,11,0.545454545454545
863,23,0.63768115942029,7,9,0.777777777777778
865,18,0.652777777777778,8,11,0.727272727272727
866,21,0.630952380952381,9,12,0.75
867,28,0.738095238095238,9,10,0.9
868,18,0.944444444444444,2,2,1
869,25,0.685714285714286,9,11,0.818181818181818
870,22,0.621212121212121,3,3,1
871,15,0.466666666666667,3,5,0.6
872,22,0.772727272727273,6,8,0.75
873,17,0.676470588235294,5,6,0.833333333333333
874,26,0.721153846153846,7,8,0.875
876,17,0.75,4,5,0.8
877,28,0.673469387755102,8,9,0.888888888888889
878,23,0.826086956521739,4,4,1
