"Participant","Cluster","Items","total_items","cum_items","perc_items"
"801",1,3,17,3,0.176470588235294
"801",2,1,17,4,0.235294117647059
"801",3,1,17,5,0.294117647058824
"801",4,1,17,6,0.352941176470588
"801",5,1,17,7,0.411764705882353
"801",6,1,17,8,0.470588235294118
"801",7,1,17,9,0.529411764705882
"801",8,1,17,10,0.588235294117647
"801",9,1,17,11,0.647058823529412
"801",10,5,17,16,0.941176470588235
"801",11,1,17,17,1
"802",1,3,13,3,0.230769230769231
"802",2,2,13,5,0.384615384615385
"802",3,2,13,7,0.538461538461538
"802",4,1,13,8,0.615384615384615
"802",5,5,13,13,1
"803",1,10,21,10,0.476190476190476
"803",2,3,21,13,0.619047619047619
"803",3,3,21,16,0.761904761904762
"803",4,1,21,17,0.80952380952381
"803",5,4,21,21,1
"804",1,3,24,3,0.125
"804",2,2,24,5,0.208333333333333
"804",3,5,24,10,0.416666666666667
"804",4,2,24,12,0.5
"804",5,1,24,13,0.541666666666667
"804",6,1,24,14,0.583333333333333
"804",7,4,24,18,0.75
"804",8,1,24,19,0.791666666666667
"804",9,1,24,20,0.833333333333333
"804",10,4,24,24,1
"805",1,2,17,2,0.117647058823529
"805",2,1,17,3,0.176470588235294
"805",3,1,17,4,0.235294117647059
"805",4,2,17,6,0.352941176470588
"805",5,1,17,7,0.411764705882353
"805",6,1,17,8,0.470588235294118
"805",7,2,17,10,0.588235294117647
"805",8,2,17,12,0.705882352941177
"805",9,1,17,13,0.764705882352941
"805",10,1,17,14,0.823529411764706
"805",11,1,17,15,0.88235294117647
"805",12,1,17,16,0.941176470588235
"805",13,1,17,17,1
"806",1,1,23,1,0.0434782608695652
"806",2,1,23,2,0.0869565217391304
"806",3,1,23,3,0.130434782608696
"806",4,7,23,10,0.434782608695652
"806",5,1,23,11,0.478260869565217
"806",6,1,23,12,0.521739130434783
"806",7,2,23,14,0.608695652173913
"806",8,2,23,16,0.695652173913043
"806",9,4,23,20,0.869565217391304
"806",10,1,23,21,0.91304347826087
"806",11,2,23,23,1
"807",1,3,27,3,0.111111111111111
"807",2,2,27,5,0.185185185185185
"807",3,4,27,9,0.333333333333333
"807",4,1,27,10,0.37037037037037
"807",5,1,27,11,0.407407407407407
"807",6,2,27,13,0.481481481481481
"807",7,2,27,15,0.555555555555556
"807",8,2,27,17,0.62962962962963
"807",9,1,27,18,0.666666666666667
"807",10,1,27,19,0.703703703703704
"807",11,2,27,21,0.777777777777778
"807",12,2,27,23,0.851851851851852
"807",13,3,27,26,0.962962962962963
"807",14,1,27,27,1
"808",1,2,25,2,0.08
"808",2,6,25,8,0.32
"808",3,1,25,9,0.36
"808",4,5,25,14,0.56
"808",5,2,25,16,0.64
"808",6,1,25,17,0.68
"808",7,8,25,25,1
"809",1,7,22,7,0.318181818181818
"809",2,2,22,9,0.409090909090909
"809",3,4,22,13,0.590909090909091
"809",4,5,22,18,0.818181818181818
"809",5,1,22,19,0.863636363636364
"809",6,2,22,21,0.954545454545455
"809",7,1,22,22,1
"810",1,2,8,2,0.25
"810",2,1,8,3,0.375
"810",3,1,8,4,0.5
"810",4,1,8,5,0.625
"810",5,1,8,6,0.75
"810",6,2,8,8,1
"811",1,4,15,4,0.266666666666667
"811",2,1,15,5,0.333333333333333
"811",3,4,15,9,0.6
"811",4,6,15,15,1
"812",1,6,25,6,0.24
"812",2,1,25,7,0.28
"812",3,14,25,21,0.84
"812",4,1,25,22,0.88
"812",5,1,25,23,0.92
"812",6,1,25,24,0.96
"812",7,1,25,25,1
"813",1,1,20,1,0.05
"813",2,1,20,2,0.1
"813",3,1,20,3,0.15
"813",4,3,20,6,0.3
"813",5,3,20,9,0.45
"813",6,2,20,11,0.55
"813",7,1,20,12,0.6
"813",8,1,20,13,0.65
"813",9,2,20,15,0.75
"813",10,1,20,16,0.8
"813",11,4,20,20,1
"814",1,4,23,4,0.173913043478261
"814",2,1,23,5,0.217391304347826
"814",3,2,23,7,0.304347826086957
"814",4,2,23,9,0.391304347826087
"814",5,4,23,13,0.565217391304348
"814",6,3,23,16,0.695652173913043
"814",7,1,23,17,0.739130434782609
"814",8,2,23,19,0.826086956521739
"814",9,4,23,23,1
"816",1,2,24,2,0.0833333333333333
"816",2,1,24,3,0.125
"816",3,2,24,5,0.208333333333333
"816",4,5,24,10,0.416666666666667
"816",5,1,24,11,0.458333333333333
"816",6,6,24,17,0.708333333333333
"816",7,2,24,19,0.791666666666667
"816",8,3,24,22,0.916666666666667
"816",9,2,24,24,1
"818",1,3,20,3,0.15
"818",2,1,20,4,0.2
"818",3,1,20,5,0.25
"818",4,1,20,6,0.3
"818",5,2,20,8,0.4
"818",6,1,20,9,0.45
"818",7,1,20,10,0.5
"818",8,1,20,11,0.55
"818",9,1,20,12,0.6
"818",10,1,20,13,0.65
