"Subject","Switch_Method","Number_of_Switches","Cluster_Size_mean","Cluster_Size_std"
801,"multimodal_alpha=0.7000000000000001",4,3.4,1.49666295470958
802,"delta_rise=0.75_fall=0.0",8,1.44444444444444,0.496903994999953
803,"multimodaldelta_alpha=1.0_rise=0.5_fall=0.5",10,1.90909090909091,0.792527080643759
804,"troyerextended",9,2.4,1.42828568570857
805,"multimodaldelta_alpha=0.9_rise=0.25_fall=1.0",8,1.88888888888889,0.993807989999907
806,"multimodaldelta_alpha=0.4_rise=1.0_fall=1.0",6,3.14285714285714,2.79941684889506
807,"multimodal_alpha=0.7000000000000001",7,3.375,1.11102430216445
810,"multimodal_alpha=0.9",1,4,2
811,"multimodaldelta_alpha=0.8_rise=0.0_fall=0.75",3,3.75,2.48746859276655
812,"troyerextended",6,3.57142857142857,4.59369576880387
813,"multimodaldelta_alpha=0.5_rise=1.0_fall=1.0",12,1.46153846153846,1.08240363688233
814,"multimodaldelta_alpha=1.0_rise=0.75_fall=0.75",11,1.91666666666667,1.32024829314624
815,"delta_rise=1.0_fall=1.0",9,2.1,1.57797338380595
816,"multimodal_alpha=0.8",8,2.66666666666667,0.666666666666667
818,"multimodaldelta_alpha=1.0_rise=0.75_fall=0.75",11,1.66666666666667,0.942809041582064
819,"multimodaldelta_alpha=1.0_rise=1.0_fall=0.75",6,2.57142857142857,1.1780301787479
820,"multimodal_alpha=0.9",9,3.1,1.04403065089106
821,"multimodaldelta_alpha=0.8_rise=0.25_fall=1.0",5,3.33333333333333,1.7950549357115
822,"multimodal_alpha=0.8",6,3.42857142857143,0.903507902905251
823,"multimodaldelta_alpha=0.7000000000000001_rise=0.5_fall=1.0",7,3,1
824,"multimodal_alpha=0.0",0,19,0
825,"multimodaldelta_alpha=0.9_rise=0.0_fall=0.75",8,2.77777777777778,1.68508343201146
826,"multimodaldelta_alpha=1.0_rise=0.75_fall=0.5",8,2,1.33333333333333
827,"multimodaldelta_alpha=0.9_rise=0.5_fall=0.0",9,2.1,0.830662386291807
828,"multimodaldelta_alpha=0.9_rise=1.0_fall=0.0",15,1.5,0.707106781186548
829,"multimodaldelta_alpha=0.9_rise=0.75_fall=1.0",4,3,3.03315017762062
830,"simdrop",7,3.625,1.40867845869808
831,"multimodal_alpha=0.5",6,3.28571428571429,0.451753951452626
832,"simdrop",4,3.4,0.489897948556636
834,"multimodaldelta_alpha=1.0_rise=0.5_fall=0.5",10,1.45454545454545,0.655554777357089
835,"delta_rise=0.75_fall=1.0",10,1.63636363636364,0.979120874024455
837,"multimodaldelta_alpha=0.9_rise=0.0_fall=0.75",8,2.66666666666667,1.82574185835055
838,"delta_rise=0.0_fall=1.0",5,3.5,2.5
839,"simdrop",6,3.28571428571429,0.699854212223765
840,"troyerextended",12,2.07692307692308,1.07141448286032
841,"delta_rise=0.25_fall=1.0",6,4.14285714285714,2.99659670905758
842,"delta_rise=0.0_fall=1.0",5,3.66666666666667,2.98142396999972
843,"multimodal_alpha=1.0",5,3.16666666666667,1.46249406456535
844,"troyerextended",10,2.54545454545455,2.27090836305396
845,"multimodaldelta_alpha=0.5_rise=1.0_fall=1.0",9,1.4,0.66332495807108
846,"multimodaldelta_alpha=0.9_rise=0.25_fall=0.25",13,2.14285714285714,1.40697968597087
847,"multimodal_alpha=0.1",8,2.77777777777778,1.22726233524303
848,"delta_rise=0.75_fall=1.0",9,3,2.19089023002066
849,"multimodaldelta_alpha=1.0_rise=0.75_fall=0.75",11,2.16666666666667,1.99304345718357
850,"multimodaldelta_alpha=0.0_rise=0.0_fall=0.75",3,2.5,2.59807621135332
851,"multimodal_alpha=0.8",9,3.1,1.4456832294801
852,"multimodal_alpha=1.0",8,2.77777777777778,0.785674201318386
853,"troyerextended",2,3.33333333333333,2.62466929133727
854,"multimodaldelta_alpha=0.9_rise=0.75_fall=0.25",13,1.57142857142857,0.82065180664829
855,"delta_rise=0.5_fall=0.5",13,2.07142857142857,1.03263087820007
856,"multimodaldelta_alpha=0.5_rise=0.25_fall=0.25",11,1.58333333333333,0.640095478989051
857,"multimodaldelta_alpha=0.8_rise=1.0_fall=0.75",10,1.18181818181818,0.385694607919935
858,"multimodaldelta_alpha=1.0_rise=0.5_fall=1.0",10,2,0.852802865422442
859,"troyerextended",7,3.5,3.16227766016838
860,"multimodaldelta_alpha=0.9_rise=0.5_fall=0.0",8,1.77777777777778,0.415739709641549
861,"multimodal_alpha=0.30000000000000004",4,3.2,0.748331477354788
862,"delta_rise=0.0_fall=1.0",8,2.44444444444444,1.25707872210942
863,"multimodaldelta_alpha=0.4_rise=0.0_fall=1.0",4,4.6,2.1540659228538
865,"multimodaldelta_alpha=0.7000000000000001_rise=0.75_fall=1.0",8,2,1.4142135623731
866,"multimodal_alpha=0.8",6,3,0.755928946018454
867,"multimodaldelta_alpha=0.6000000000000001_rise=0.25_fall=1.0",8,3.11111111111111,3.38113867882288
868,"troyerextended",5,3,1.52752523165195
869,"delta_rise=0.75_fall=1.0",11,2.08333333333333,2.46503324295817
870,"multimodaldelta_alpha=1.0_rise=0.5_fall=1.0",9,2.2,1.16619037896906
871,"multimodaldelta_alpha=0.1_rise=0.75_fall=0.25",10,1.36363636363636,0.481045692920835
872,"multimodaldelta_alpha=0.9_rise=0.75_fall=1.0",12,1.69230769230769,0.72160242458822
873,"multimodaldelta_alpha=1.0_rise=1.0_fall=0.0",11,1.41666666666667,0.640095478989051
874,"multimodaldelta_alpha=1.0_rise=0.0_fall=0.5",11,2.16666666666667,1.06718737290547
875,"multimodal_alpha=1.0",9,3.1,1.4456832294801
876,"multimodaldelta_alpha=0.9_rise=0.25_fall=0.5",6,2.42857142857143,1.1780301787479
877,"multimodaldelta_alpha=0.9_rise=0.25_fall=0.25",13,2,1
878,"multimodal_alpha=1.0",5,3.83333333333333,0.897527467855751
879,"multimodal_alpha=0.8",3,3,1.22474487139159
