"Subject","Model","Beta_Frequency","Beta_Semantic","Beta_Phonological","Negative_Log_Likelihood_Optimized","version","k","n","BIC"
801,"forage_static",6.27004403528467,3.52118067282367,NA,94.4057692321406,"V1",2,17,194.477965152394
802,"forage_phonologicaldynamiclocal_troyerextended",4.62423683578728,5.60285918925621,-0.173801844419409,76.7353701245242,"V1",3,13,161.165588321433
803,"forage_phonologicaldynamiclocal_simdrop",3.34591019675827,9.73342167801302,-0.668297158513676,102.613035116854,"V1",3,21,214.359637546879
804,"forage_phonologicaldynamicglobal_troyerextended",4.39491897565216,5.78929788880434,-0.195341210042873,139.031331469101,"V1",3,24,287.596824429246
805,"forage_phonologicaldynamiclocal_simdrop",6.49591900200433,4.65229029121751,-0.349894564576116,95.0608320793076,"V1",3,17,198.621304190784
806,"forage_phonologicaldynamicglobal_troyerextended",3.09432717362236,6.26861570707464,-0.221850377688563,132.191567981857,"V1",3,22,273.656263323789
807,"forage_dynamic_simdrop",4.36423715080023,4.20894398136329,NA,163.083955872966,"V1",2,27,332.759585477941
808,"forage_phonologicalstatic",3.87702006838549,6.00336936578729,-0.335175286805798,134.837754076906,"V1",3,25,279.332135628417
809,"forage_phonologicalstatic",4.36976720263537,4.82085891212939,-0.130795615203659,125.204662588936,"V1",3,22,259.682452537948
810,"forage_dynamic_simdrop",8.61034462915084,3.71826066200893,NA,40.3966472411991,"V1",2,8,84.9521775657578
811,"forage_phonologicaldynamiclocal_simdrop",4.4828215998172,6.68958786069307,-0.350286008230406,84.0822805743003,"V1",3,15,176.288711751907
812,"forage_dynamic_troyerextended",2.57288426104307,5.0662714055349,NA,149.587406391072,"V1",2,25,305.612564431881
813,"forage_dynamic_troyerextended",4.91985389071588,4.59058566542566,NA,116.554693933732,"V1",2,19,238.998265825798
814,"forage_phonologicaldynamiclocal_simdrop",3.57013173504281,5.89848872415051,-0.184285677266021,136.909337485686,"V1",3,23,283.225157619159
815,"forage_phonologicaldynamiclocal_norms_categorical",4.95165924400461,7.30682491431981,-0.36887869287076,125.413496945625,"V1",3,21,259.96056120442
816,"forage_phonologicaldynamicswitch_simdrop",4.28044447646434,5.09385686231937,-0.30153238801912,133.745664682691,"V1",3,24,277.025490856426
818,"forage_phonologicaldynamiclocal_troyerextended",5.78023388579102,4.94196378050393,-0.231525419873608,122.15744044816,"V1",3,20,253.302077716982
819,"forage_phonologicaldynamicglobal_simdrop",7.50313243803236,4.98149019325076,-0.19867663749238,92.585228361106,"V1",3,18,193.8415719959
820,"forage_phonologicaldynamicglobal_simdrop",5.7707996855963,6.58577220572019,-0.25619975257716,158.163976953862,"V1",3,31,326.629915521179
821,"forage_dynamic_simdrop",6.4942898465183,3.66485185879695,NA,114.9928018819,"V1",2,20,235.977068310908
822,"forage_phonologicaldynamiclocal_simdrop",3.8573681174821,6.12112281271292,-0.264278777268,139.349137549678,"V1",3,24,288.232436590401
823,"forage_phonologicaldynamicswitch_multimodal_alpha=0.6000000000000001",4.84890577453525,3.66217025174568,-2.50620383182328,144.026648852444,"V1",4,24,300.765513026279
