"Subject","Switch_Method","Number_of_Switches","Cluster_Size_mean","Cluster_Size_std"
801,"multimodaldelta_alpha=0.8_rise=0.0_fall=0.0",7,2.125,1.1659223816361
802,"troyerextended",4,2.6,1.35646599662505
803,"multimodaldelta_alpha=1.0_rise=0.5_fall=0.5",10,1.90909090909091,0.792527080643759
804,"troyerextended",9,2.4,1.42828568570857
805,"troyerextended",12,1.30769230769231,0.461538461538462
806,"troyerextended",9,2.2,1.83303027798234
807,"troyerextended",13,1.92857142857143,0.883522634060927
808,"troyerextended",6,3.57142857142857,2.55550625999976
809,"troyerextended",6,3.14285714285714,2.0995626366713
810,"troyerextended",5,1.33333333333333,0.471404520791032
811,"troyerextended",3,3.75,1.78535710713571
812,"troyerextended",6,3.57142857142857,4.59369576880387
813,"troyerextended",9,1.9,1.04403065089105
814,"troyerextended",8,2.55555555555556,1.1653431646335
815,"troyerextended",12,1.61538461538462,1.07692307692308
816,"troyerextended",8,2.66666666666667,1.63299316185545
818,"troyerextended",11,1.66666666666667,1.43372087784044
819,"troyerextended",9,1.8,0.871779788708135
820,"troyerextended",9,3.1,2.16564078277077
821,"troyerextended",9,2,1.18321595661992
822,"troyerextended",7,3,2.44948974278318
823,"troyerextended",7,3,1.80277563773199
824,"troyerextended",8,2.11111111111111,1.6629588385662
825,"multimodaldelta_alpha=0.9_rise=0.0_fall=0.75",8,2.77777777777778,1.68508343201146
826,"multimodaldelta_alpha=1.0_rise=0.75_fall=0.5",8,2,1.33333333333333
827,"troyerextended",8,2.33333333333333,1.4142135623731
828,"multimodaldelta_alpha=0.9_rise=1.0_fall=0.0",15,1.5,0.707106781186548
829,"troyerextended",5,2.5,2.92973263854116
830,"troyerextended",13,2.07142857142857,1.38689198849626
831,"troyerextended",10,2.09090909090909,1.37870462619119
832,"troyerextended",7,2.125,1.26861144563653
833,"multimodaldelta_alpha=0.5_rise=0.5_fall=1.0",3,3.25,1.4790199457749
834,"troyerextended",7,2,1.3228756555323
835,"multimodaldelta_alpha=1.0_rise=1.0_fall=1.0",10,1.63636363636364,0.979120874024455
837,"troyerextended",5,4,2.3094010767585
838,"multimodaldelta_alpha=0.9_rise=0.0_fall=0.75",5,3.5,2.5
839,"troyerextended",8,2.55555555555556,1.57134840263677
840,"troyerextended",12,2.07692307692308,1.07141448286032
841,"troyerextended",14,1.93333333333333,1.18133634311129
842,"troyerextended",12,1.69230769230769,0.991084517440394
843,"troyerextended",8,2.11111111111111,1.52347880008912
844,"troyerextended",10,2.54545454545455,2.27090836305396
845,"troyerextended",10,1.27272727272727,0.616575453011388
846,"troyerextended",10,2.72727272727273,3.44016144153173
847,"troyerextended",10,2.27272727272727,1.05234880934457
848,"troyerextended",10,2.72727272727273,3.0775110690565
849,"troyerextended",7,3.25,1.78535710713571
850,"troyerextended",7,1.25,0.661437827766148
851,"multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",10,2.81818181818182,2.12424026282689
852,"multimodaldelta_alpha=0.8_rise=0.75_fall=0.75",14,1.66666666666667,0.788810637746616
853,"troyerextended",2,3.33333333333333,2.62466929133727
854,"troyerextended",11,1.83333333333333,0.986013297183269
855,"troyerextended",14,1.93333333333333,1.38884444373331
856,"multimodaldelta_alpha=0.5_rise=0.25_fall=0.25",11,1.58333333333333,0.640095478989051
857,"troyerextended",8,1.44444444444444,0.496903994999953
858,"troyerextended",10,2,0.852802865422442
859,"troyerextended",7,3.5,3.16227766016838
860,"troyerextended",6,2.28571428571429,1.27775312999988
861,"troyerextended",5,2.66666666666667,1.7950549357115
862,"multimodaldelta_alpha=1.0_rise=0.0_fall=0.75",8,2.44444444444444,1.25707872210942
863,"troyerextended",11,1.91666666666667,0.862006702732383
865,"troyerextended",12,1.38461538461538,0.624926031125843
866,"multimodaldelta_alpha=0.7000000000000001_rise=0.0_fall=0.5",9,2.1,1.04403065089106
867,"troyerextended",9,2.8,2.35796522451032
868,"troyerextended",5,3,1.52752523165195
869,"multimodaldelta_alpha=0.9_rise=1.0_fall=1.0",11,2.08333333333333,2.46503324295817
870,"troyerextended",8,2.44444444444444,1.77081971672325
871,"troyerextended",9,1.5,0.921954445729289
872,"multimodaldelta_alpha=0.9_rise=0.75_fall=1.0",12,1.69230769230769,0.72160242458822
873,"multimodaldelta_alpha=1.0_rise=1.0_fall=0.0",11,1.41666666666667,0.640095478989051
874,"troyerextended",10,2.36363636363636,1.43163779527487
875,"troyerextended",11,2.58333333333333,1.60511335702152
876,"multimodaldelta_alpha=0.9_rise=0.25_fall=0.5",6,2.42857142857143,1.1780301787479
877,"troyerextended",13,2,1.25356634105602
878,"troyerextended",9,2.3,1.552417469626
879,"multimodaldelta_alpha=0.8_rise=0.0_fall=0.75",3,3,1.58113883008419
