"Subject","Fluency_Item","Switch_Value","Switch_Method"
801,"bird",2,"multimodaldelta_alpha=0.8_rise=0.0_fall=0.0"
801,"cat",0,"multimodaldelta_alpha=0.8_rise=0.0_fall=0.0"
801,"dog",0,"multimodaldelta_alpha=0.8_rise=0.0_fall=0.0"
801,"horse",0,"multimodaldelta_alpha=0.8_rise=0.0_fall=0.0"
801,"duck",1,"multimodaldelta_alpha=0.8_rise=0.0_fall=0.0"
801,"butterfly",1,"multimodaldelta_alpha=0.8_rise=0.0_fall=0.0"
801,"squirrel",1,"multimodaldelta_alpha=0.8_rise=0.0_fall=0.0"
801,"monkey",0,"multimodaldelta_alpha=0.8_rise=0.0_fall=0.0"
801,"ant",1,"multimodaldelta_alpha=0.8_rise=0.0_fall=0.0"
801,"anteater",0,"multimodaldelta_alpha=0.8_rise=0.0_fall=0.0"
801,"beetle",1,"multimodaldelta_alpha=0.8_rise=0.0_fall=0.0"
801,"pig",1,"multimodaldelta_alpha=0.8_rise=0.0_fall=0.0"
801,"cow",0,"multimodaldelta_alpha=0.8_rise=0.0_fall=0.0"
801,"chicken",0,"multimodaldelta_alpha=0.8_rise=0.0_fall=0.0"
801,"hen",0,"multimodaldelta_alpha=0.8_rise=0.0_fall=0.0"
801,"bull",1,"multimodaldelta_alpha=0.8_rise=0.0_fall=0.0"
801,"frog",0,"multimodaldelta_alpha=0.8_rise=0.0_fall=0.0"
802,"leopard",2,"troyerextended"
802,"jaguar",0,"troyerextended"
802,"ocelot",0,"troyerextended"
802,"pigeon",1,"troyerextended"
802,"dove",0,"troyerextended"
802,"dog",1,"troyerextended"
802,"cat",0,"troyerextended"
802,"lizard",1,"troyerextended"
802,"chicken",1,"troyerextended"
802,"jungle fowl",0,"troyerextended"
802,"pelican",0,"troyerextended"
802,"seagull",0,"troyerextended"
802,"fish",0,"troyerextended"
803,"dog",2,"multimodaldelta_alpha=1.0_rise=0.5_fall=0.5"
803,"cat",0,"multimodaldelta_alpha=1.0_rise=0.5_fall=0.5"
803,"gerbil",1,"multimodaldelta_alpha=1.0_rise=0.5_fall=0.5"
803,"ferret",0,"multimodaldelta_alpha=1.0_rise=0.5_fall=0.5"
803,"guinea pig",0,"multimodaldelta_alpha=1.0_rise=0.5_fall=0.5"
803,"fish",1,"multimodaldelta_alpha=1.0_rise=0.5_fall=0.5"
803,"salmon",0,"multimodaldelta_alpha=1.0_rise=0.5_fall=0.5"
803,"bass",1,"multimodaldelta_alpha=1.0_rise=0.5_fall=0.5"
803,"walleye",0,"multimodaldelta_alpha=1.0_rise=0.5_fall=0.5"
