"Subject","Model","Beta_Frequency","Beta_Semantic","Beta_Phonological","Negative_Log_Likelihood_Optimized","version","k","n","BIC"
801,"forage_dynamic_multimodaldelta_alpha=0.8_rise=0.0_fall=0.0",6.2854506622232,4.26612991831539,NA,94.325106214482,"V1",5,17,202.816279149245
802,"forage_phonologicaldynamiclocal_troyerextended",4.62423683578728,5.60285918925621,-0.173801844419409,76.7353701245242,"V1",3,13,161.165588321433
803,"forage_phonologicaldynamiclocal_multimodaldelta_alpha=1.0_rise=0.5_fall=0.5",3.95846898694128,14.9836687468983,-3.51559761315763,99.6271743125642,"V1",6,21,217.521483251469
804,"forage_phonologicaldynamicglobal_troyerextended",4.39491897565216,5.78929788880434,-0.195341210042873,139.031331469101,"V1",3,24,287.596824429246
805,"forage_phonologicaldynamicglobal_troyerextended",6.60064325208296,6.28316574334135,-0.27252065878398,96.894761941332,"V1",3,17,202.289163914833
806,"forage_phonologicaldynamicglobal_troyerextended",3.09432717362236,6.26861570707464,-0.221850377688563,132.191567981857,"V1",3,22,273.656263323789
807,"forage_dynamic_troyerextended",4.43719125757544,4.59602521856891,NA,164.974468503419,"V1",2,27,336.540610738847
808,"forage_phonologicaldynamicglobal_troyerextended",4.28836172926634,6.81932418425401,-0.344092377640421,135.398744661028,"V1",3,25,280.45411679666
809,"forage_phonologicaldynamiclocal_troyerextended",4.29002941791671,5.513087193916,-0.199759385666845,126.976531355645,"V1",3,22,263.226190071364
810,"forage_dynamic_troyerextended",9.02168392172619,4.19635220221756,NA,42.6667207420813,"V1",2,8,89.4923245675223
811,"forage_phonologicaldynamicglobal_troyerextended",4.54787860927983,5.57785288703597,-0.211351326225722,84.5573382316073,"V1",3,15,177.238827066521
812,"forage_dynamic_troyerextended",2.57288426104307,5.0662714055349,NA,149.587406391072,"V1",2,25,305.612564431881
813,"forage_dynamic_troyerextended",4.91985389071588,4.59058566542566,NA,116.554693933732,"V1",2,19,238.998265825798
814,"forage_phonologicaldynamiclocal_troyerextended",3.43663108367385,5.74047527231617,-0.168768171171104,137.233655583842,"V1",3,23,283.873793815471
815,"forage_phonologicaldynamiclocal_troyerextended",4.89590473113223,6.16953628189821,-0.274353079942297,128.590847015205,"V1",3,21,266.31526134358
816,"forage_dynamic_troyerextended",4.60414895313774,5.05362219445342,NA,139.762994657764,"V1",2,24,285.882096976225
818,"forage_phonologicaldynamiclocal_troyerextended",5.78023388579102,4.94196378050393,-0.231525419873608,122.15744044816,"V1",3,20,253.302077716982
819,"forage_phonologicaldynamiclocal_troyerextended",8.2059026094269,6.89121733321683,-0.369077697188343,93.7228970910825,"V1",3,18,196.116909455854
820,"forage_phonologicaldynamicglobal_troyerextended",6.01598262963095,6.23227724074404,-0.234825975562627,161.742166071139,"V1",3,31,333.786293755734
821,"forage_dynamic_troyerextended",6.91732470166928,4.02155094193951,NA,116.307352219774,"V1",2,20,238.606168986657
822,"forage_phonologicaldynamiclocal_troyerextended",4.29707642753925,5.77282305962126,-0.185717922407528,141.971732147487,"V1",3,24,293.477625786018
823,"forage_dynamic_troyerextended",5.08987664611872,3.42473832709521,NA,149.417949971199,"V1",2,24,305.192007603094
824,"forage_phonologicaldynamiclocal_troyerextended",5.94314505874318,6.52748004321728,-0.32488424738632,106.652224432179,"V1",3,19,222.137765801857
825,"forage_phonologicaldynamiclocal_multimodaldelta_alpha=0.9_rise=0.0_fall=0.75",4.42797680139739,6.16964809523624,-0.237189295328967,141.682843051073,"V1",6,25,302.678941051356
826,"forage_phonologicaldynamiclocal_multimodaldelta_alpha=1.0_rise=0.75_fall=0.5",5.17470038839845,8.53202942392153,-0.557684881805437,98.1329589175697,"V1",6,18,213.608148382516
827,"forage_phonologicaldynamiclocal_troyerextended",4.52844561263225,6.4397466673928,-0.192387934022587,120.930862916578,"V1",3,21,250.995293146326
828,"forage_phonologicaldynamiclocal_multimodaldelta_alpha=0.9_rise=1.0_fall=0.0",7.29508280809553,12.9218600483532,-2.9332429499239,120.941334945315,"V1",6,24,260.950992872718
829,"forage_phonologicaldynamicswitch_troyerextended",5.3920573361754,4.22830750842556,-2.19459048038107,84.0337118293275,"V1",3,15,176.191574261962
830,"forage_phonologicaldynamiclocal_troyerextended",6.0013027764559,5.02782405717787,-0.252991638993838,171.041186982427,"V1",3,29,352.184261454814
831,"forage_dynamic_troyerextended",6.79771927750667,4.14955236822573,NA,128.358705369442,"V1",2,23,262.988399170743
832,"forage_phonologicaldynamiclocal_troyerextended",7.13798811395542,7.89232487618842,-0.516130671910649,85.9634016698472,"V1",3,17,180.426443371863
833,"forage_phonologicaldynamicswitch_multimodaldelta_alpha=0.5_rise=0.5_fall=1.0",5.57753863202331,4.67771822537575,-2.90240432901361,69.9601257874462,"V1",6,13,155.309947719662
834,"forage_phonologicaldynamicglobal_troyerextended",7.16495173078096,5.18891996759204,-0.164023798832754,87.7202293329268,"V1",3,16,183.758224832573
835,"forage_phonologicaldynamiclocal_multimodaldelta_alpha=1.0_rise=1.0_fall=1.0",5.28079287588778,8.71989978528324,-2.4892903835918,103.064093199337,"V1",6,18,223.470416946052
837,"forage_phonologicaldynamiclocal_troyerextended",4.78823819932441,5.77613076902076,-0.184059520655945,131.043963489777,"V1",3,24,271.622088470598
838,"forage_phonologicaldynamiclocal_multimodaldelta_alpha=0.9_rise=0.0_fall=0.75",7.1879613104143,6.09796919174533,-0.292789673771828,102.987763796509,"V1",6,21,224.242662219358
839,"forage_phonologicaldynamiclocal_troyerextended",6.47510081371978,6.61961652320397,-0.267485458659939,117.539322050788,"V1",3,23,244.485126749363
840,"forage_phonologicaldynamiclocal_troyerextended",3.85657536466707,7.14166123285767,-0.344422158504722,158.24773287804,"V1",3,27,326.382976354093
841,"forage_phonologicaldynamiclocal_troyerextended",5.02483580954146,7.31336530615877,-0.343814242904232,164.951187106412,"V1",3,29,340.004261702783
842,"forage_dynamic_troyerextended",5.1338782538189,5.09247463231507,NA,128.153780804188,"V1",2,22,262.489646515092
843,"forage_dynamic_troyerextended",5.09212881880233,4.34463176039282,NA,116.056905975912,"V1",2,19,238.002689910158
844,"forage_phonologicaldynamiclocal_troyerextended",6.17533258042465,7.23849389947247,-0.353167833068323,148.68348982814,"V1",3,28,307.363593186806
845,"forage_phonologicaldynamicglobal_troyerextended",6.59838458077619,4.85437414465692,-0.143999510626105,84.0865273072933,"V1",3,14,176.090226603432
846,"forage_dynamic_troyerextended",4.09772715432247,3.96452095737701,NA,189.799514869828,"V1",2,30,386.40142450298
847,"forage_phonologicaldynamicglobal_troyerextended",5.14085580472579,5.8107285461274,-0.140632172194215,141.266468171492,"V1",3,25,292.189563817589
848,"forage_dynamic_troyerextended",5.00168440621896,5.3994904747231,NA,156.761657609951,"V1",2,30,320.325709983227
849,"forage_phonologicaldynamiclocal_troyerextended",5.44030071199032,4.76189505890249,-0.14245292474536,151.783469438735,"V1",3,26,313.341228491535
850,"forage_phonologicaldynamiclocal_troyerextended",4.14385447982872,0.707298812329482,1.96936838209967,66.2807918270004,"V1",3,10,139.469338932983
851,"forage_dynamic_multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",0.190890087025895,4.98679858348969,NA,204.776902163622,"V1",5,31,426.723740349669
