"Subject","Model","Beta_Frequency","Beta_Semantic","Beta_Phonological","Negative_Log_Likelihood_Optimized","version","k","n","BIC"
801,"forage_phonologicaldynamiclocal_simdrop",6.25437598301168,4.38948014659226,-0.0695087943347182,94.1796094306448,"V1",3,17,196.858858893458
801,"forage_phonologicaldynamiclocal_troyerextended",6.4613164814629,5.52012719835481,-0.194717753337324,97.5127788635558,"V1",3,17,203.52519775928
802,"forage_phonologicaldynamiclocal_simdrop",4.60194999309539,5.40942470044872,-0.16158298162547,77.0032887737715,"V1",3,13,161.701425619928
802,"forage_phonologicaldynamiclocal_troyerextended",4.62423683578728,5.60285918925621,-0.173801844419409,76.7353701245242,"V1",3,13,161.165588321433
803,"forage_phonologicaldynamiclocal_simdrop",3.34591019675827,9.73342167801302,-0.668297158513676,102.613035116854,"V1",3,21,214.359637546879
803,"forage_phonologicaldynamiclocal_troyerextended",3.05210608805932,7.17942440630407,-0.372606303079331,109.920859709582,"V1",3,21,228.975286732335
804,"forage_phonologicaldynamiclocal_simdrop",4.22797687040668,5.70434418739562,-0.233479877626167,141.361317758943,"V1",3,24,292.256797008929
804,"forage_phonologicaldynamiclocal_troyerextended",4.4302582216309,5.98650594364875,-0.223778563404996,140.082481891175,"V1",3,24,289.699125273393
805,"forage_phonologicaldynamiclocal_simdrop",6.49591900200433,4.65229029121751,-0.349894564576116,95.0608320793076,"V1",3,17,198.621304190784
805,"forage_phonologicaldynamiclocal_troyerextended",6.92046860968873,6.47484182752943,-0.298281782353217,99.6290856983685,"V1",3,17,207.757811428906
806,"forage_phonologicaldynamiclocal_simdrop",3.35249949119739,6.38430985222773,-0.24251400672543,133.797806901091,"V1",3,22,276.868741162257
806,"forage_phonologicaldynamiclocal_troyerextended",3.20880007532441,6.60414614902795,-0.271690767484047,133.128879712104,"V1",3,22,275.530886784283
807,"forage_phonologicaldynamiclocal_simdrop",4.3565581007638,4.33054944390373,-0.0260831845209715,163.00852425541,"V1",3,27,335.904559108833
807,"forage_phonologicaldynamiclocal_troyerextended",4.39632371216428,5.47604340458441,-0.153127700380174,163.432805097637,"V1",3,27,336.753120793286
808,"forage_phonologicaldynamiclocal_simdrop",3.9166376300316,6.47575893844883,-0.341290998500192,138.16265843128,"V1",3,25,285.981944337165
808,"forage_phonologicaldynamiclocal_troyerextended",4.3739522414016,6.64001590130981,-0.318029925337414,138.673054197081,"V1",3,25,287.002735868767
809,"forage_phonologicaldynamiclocal_simdrop",4.48865522058991,5.28245439550926,-0.160616605268068,128.933276290135,"V1",3,22,267.139679940345
809,"forage_phonologicaldynamiclocal_troyerextended",4.29002941791671,5.513087193916,-0.199759385666845,126.976531355645,"V1",3,22,263.226190071364
810,"forage_phonologicaldynamiclocal_simdrop",8.52770839225974,4.59595386721969,-0.14318925699187,39.7464513203971,"V1",3,8,85.7312272658337
810,"forage_phonologicaldynamiclocal_troyerextended",8.98176301471063,5.27113407120721,-0.140259450434924,42.4962797228823,"V1",3,8,91.2308840708041
811,"forage_phonologicaldynamiclocal_simdrop",4.4828215998172,6.68958786069307,-0.350286008230406,84.0822805743003,"V1",3,15,176.288711751907
811,"forage_phonologicaldynamiclocal_troyerextended",4.63245777064446,5.36460223020918,-0.174501227427037,85.9477426245964,"V1",3,15,180.019635852499
812,"forage_phonologicaldynamiclocal_simdrop",2.37813171157867,4.81549109186719,-0.046808517209081,156.034467460849,"V1",3,25,321.725562396302
812,"forage_phonologicaldynamiclocal_troyerextended",2.58549975868657,5.55963366704774,-0.0970685702346502,148.716998894284,"V1",3,25,307.090625263173
813,"forage_phonologicaldynamiclocal_simdrop",4.68621716953678,3.33225033591446,0.0433281425459894,119.46586348464,"V1",3,19,247.765043906779
813,"forage_phonologicaldynamiclocal_troyerextended",4.92920066006416,4.47147577317428,0.0259210875189962,116.520606843367,"V1",3,19,241.874530624233
814,"forage_phonologicaldynamiclocal_simdrop",3.57013173504281,5.89848872415051,-0.184285677266021,136.909337485686,"V1",3,23,283.225157619159
