"Subject","Model","Beta_Frequency","Beta_Semantic","Beta_Phonological","Negative_Log_Likelihood_Optimized","version","k","n","BIC"
801,"forage_phonologicaldynamiclocal_multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",6.30124385777366,4.8355184706413,-0.104689876017945,94.6410235439305,"V1",6,17,206.281327152198
801,"forage_phonologicaldynamiclocal_troyerextended",6.4613164814629,5.52012719835481,-0.194717753337324,97.5127788635558,"V1",3,17,203.52519775928
802,"forage_phonologicaldynamiclocal_multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",4.56628213312073,5.46993013943324,-0.148564596862135,78.209992845004,"V1",6,13,171.809681834777
802,"forage_phonologicaldynamiclocal_troyerextended",4.62423683578728,5.60285918925621,-0.173801844419409,76.7353701245242,"V1",3,13,161.165588321433
803,"forage_phonologicaldynamiclocal_multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",3.54568435403151,11.8866559763305,-0.826134554241237,104.802337058709,"V1",6,21,227.871808743758
803,"forage_phonologicaldynamiclocal_troyerextended",3.05210608805932,7.17942440630407,-0.372606303079331,109.920859709582,"V1",3,21,228.975286732335
804,"forage_phonologicaldynamiclocal_multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",4.36382009836464,4.96788685068632,-0.180344733529671,141.328853805034,"V1",6,24,301.726030592155
804,"forage_phonologicaldynamiclocal_troyerextended",4.4302582216309,5.98650594364875,-0.223778563404996,140.082481891175,"V1",3,24,289.699125273393
805,"forage_phonologicaldynamiclocal_multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",7.09178581521604,6.22135880186948,-0.362585664311761,93.6680798890479,"V1",6,17,204.335439842433
805,"forage_phonologicaldynamiclocal_troyerextended",6.92046860968873,6.47484182752943,-0.298281782353217,99.6290856983685,"V1",3,17,207.757811428906
806,"forage_phonologicaldynamiclocal_multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",3.11986581696532,5.8283012238188,-0.207225792661026,134.179368658111,"V1",6,22,286.904992036372
806,"forage_phonologicaldynamiclocal_troyerextended",3.20880007532441,6.60414614902795,-0.271690767484047,133.128879712104,"V1",3,22,275.530886784283
807,"forage_phonologicaldynamiclocal_multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",4.33754451491772,4.62094283999349,-0.0505882570806807,166.123321946174,"V1",6,27,352.021665088373
807,"forage_phonologicaldynamiclocal_troyerextended",4.39632371216428,5.47604340458441,-0.153127700380174,163.432805097637,"V1",3,27,336.753120793286
808,"forage_phonologicaldynamiclocal_multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",4.30010006705995,6.34702270954887,-0.320519354605363,142.887164031073,"V1",6,25,305.087583011355
808,"forage_phonologicaldynamiclocal_troyerextended",4.3739522414016,6.64001590130981,-0.318029925337414,138.673054197081,"V1",3,25,287.002735868767
809,"forage_phonologicaldynamiclocal_multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",4.640468819869,6.99116110156712,-0.311243506602492,131.416795299762,"V1",6,22,281.379845319675
809,"forage_phonologicaldynamiclocal_troyerextended",4.29002941791671,5.513087193916,-0.199759385666845,126.976531355645,"V1",3,22,263.226190071364
810,"forage_phonologicaldynamiclocal_multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",8.26510935899677,4.37884760662179,-0.067728810158762,41.0498623615507,"V1",6,8,94.5763739731804
810,"forage_phonologicaldynamiclocal_troyerextended",8.98176301471063,5.27113407120721,-0.140259450434924,42.4962797228823,"V1",3,8,91.2308840708041
811,"forage_phonologicaldynamiclocal_multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",4.24660511915495,5.7290023691372,-0.259302475683019,83.8140982947443,"V1",6,15,183.876497796102
811,"forage_phonologicaldynamiclocal_troyerextended",4.63245777064446,5.36460223020918,-0.174501227427037,85.9477426245964,"V1",3,15,180.019635852499
812,"forage_phonologicaldynamiclocal_multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",2.56842895701086,5.82425174349279,-0.0100562483747096,154.244649252637,"V1",6,25,327.802553454484
812,"forage_phonologicaldynamiclocal_troyerextended",2.58549975868657,5.55963366704774,-0.0970685702346502,148.716998894284,"V1",3,25,307.090625263173
813,"forage_phonologicaldynamiclocal_multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",4.9240517657761,3.8375658397913,0.0479320251611447,117.107274897837,"V1",6,19,251.881183670672
813,"forage_phonologicaldynamiclocal_troyerextended",4.92920066006416,4.47147577317428,0.0259210875189962,116.520606843367,"V1",3,19,241.874530624233
814,"forage_phonologicaldynamiclocal_multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",3.53185426462215,5.15795895118127,-0.0736009991194976,138.580811037094,"V1",6,23,295.974587369762
814,"forage_phonologicaldynamiclocal_troyerextended",3.43663108367385,5.74047527231617,-0.168768171171104,137.233655583842,"V1",3,23,283.873793815471
815,"forage_phonologicaldynamiclocal_multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",4.77118444452735,4.92968147359939,-0.16881489686754,126.326308851292,"V1",6,21,270.919752328924
815,"forage_phonologicaldynamiclocal_troyerextended",4.89590473113223,6.16953628189821,-0.274353079942297,128.590847015205,"V1",3,21,266.31526134358
816,"forage_phonologicaldynamiclocal_multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",4.50620126973564,5.77174270325419,-0.144943980655429,137.379623971052,"V1",6,24,293.827570924191
816,"forage_phonologicaldynamiclocal_troyerextended",4.59857102630332,5.69388131160841,-0.118438763819144,138.627569004116,"V1",3,24,286.789299499277
818,"forage_phonologicaldynamiclocal_multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",5.55842666877775,3.32702981658815,-0.101215210770756,124.651345263412,"V1",6,20,267.277084168149
818,"forage_phonologicaldynamiclocal_troyerextended",5.78023388579102,4.94196378050393,-0.231525419873608,122.15744044816,"V1",3,20,253.302077716982
819,"forage_phonologicaldynamiclocal_multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",7.64182860741446,4.6733828091921,-0.154133752495623,94.0477543975683,"V1",6,18,205.437739342514
819,"forage_phonologicaldynamiclocal_troyerextended",8.2059026094269,6.89121733321683,-0.369077697188343,93.7228970910825,"V1",3,18,196.116909455854
820,"forage_phonologicaldynamiclocal_multimodaldelta_alpha=1.0_rise=0.25_fall=1.0",6.0838197197062,7.66245950763284,-0.36626333680608,160.664288636002,"V1",6,31,341.932500498915
820,"forage_phonologicaldynamiclocal_troyerextended",6.12836990718853,6.23001565310589,-0.234222932631198,163.783985718388,"V1",3,31,337.869933050232
